KCNJ11	YWHAB
YWHAB	APP
APP	MAPK8
MAPK8	IRF3
YWHAB	HDAC4
HDAC4	STAT1
YWHAB	PRKCZ
PRKCZ	SP1
YWHAB	C1QBP
C1QBP	CEBPA
YWHAB	TRIM32
TRIM32	RXRA
YWHAB	AKAP13
AKAP13	RXRB
YWHAB	YWHAZ
YWHAZ	AJUBA
AJUBA	RXRG
HDAC4	NFKB1
YWHAB	ABL1
ABL1	JUN
YWHAB	RFWD2
RFWD2	FOXO1
YWHAB	FOXO3
AKAP13	PPARA
RFWD2	ETS1
YWHAB	GRIP1
GRIP1	PPARG
YWHAZ	TP53
TP53	EGR1
APP	GSK3B
GSK3B	CEBPB
HDAC4	HIF1A
ABL1	CREB1
APP	MCM7
MCM7	SP2
YWHAB	IGF1R
IGF1R	ESR1
ESR1	SP3
APP	C9orf41
C9orf41	NR3C2
YWHAB	CDC25A
CDC25A	NFYA
TP53	NFYB
APP	GAPDH
GAPDH	NFYC
APP	RFX5
YWHAB	YWHAQ
YWHAQ	NCL
NCL	RFXAP
HDAC4	RFXANK
YWHAQ	SMURF1
SMURF1	NFIC
APP	MYC
MYC	TFAP2A
PRKCZ	RELA
GRIP1	CREBBP
YWHAB	HSPA5
HSPA5	EP300
EP300	ARNT
YWHAQ	PRKDC
PRKDC	PDX1
EP300	USF2
YWHAB	CSNK2A1
CSNK2A1	SPI1
ABL1	FOS
MAPK8	HSF1
APP	KAT5
KAT5	MYB
HDAC4	HNF4A
YWHAB	ZFP36
ZFP36	HDAC1
HDAC1	GLI2
YWHAZ	PRKCA
PRKCA	GLI3
YWHAQ	YAP1
MYC	GLI1
YWHAQ	NFATC1
NFATC1	EGR2
YWHAB	CDK11B
CDK11B	POU2F1
RFWD2	ETS2
APP	ELK1
ELK1	FLI1
RFWD2	ETV4
CA1	TFCP2
TFCP2	SUMO1
SUMO1	PIAS4
PIAS4	IRF3
TFCP2	HDAC1
HDAC1	STAT1
TFCP2	HDAC2
HDAC2	SP1
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
SUMO1	PML
PML	RXRA
HDAC2	RARA
RARA	RXRB
SUMO1	NR1H4
NR1H4	RXRG
HDAC1	NFKB1
PML	JUN
PML	FOXO1
HDAC2	MYC
MYC	FOXO3
SUMO1	UBE2I
UBE2I	PPARA
SUMO1	DAXX
DAXX	ETS1
HDAC1	PPARG
SUMO1	TP53
TFCP2	CASP8
CASP8	CEBPB
HDAC2	HIF1A
HDAC1	CREB1
HDAC2	ESR1
ESR1	SP2
HDAC2	SP3
TFCP2	CDC73
CDC73	HSP90AA1
HSP90AA1	NR3C2
TP53	NFYA
HDAC1	TBP
TBP	NFYC
TFCP2	APBB1
APBB1	APP
TFCP2	EAF1
EAF1	MLLT1
MLLT1	RFXAP
HDAC2	CIITA
CIITA	RFXANK
HSP90AA1	NFIC
TP53	TFAP2A
HDAC2	RELA
HDAC2	CREBBP
HDAC1	EP300
PML	ARNT
CDC73	NPL3
NPL3	PDX1
RELA	USF2
HDAC1	SPI1
PML	FOS
HDAC2	HSF1
SUMO1	MYB
UBE2I	HNF4A
HDAC1	GLI3
PML	YAP1
HDAC2	GLI1
UBE2I	EGR2
HDAC1	POU2F1
TP53	ETS2
SUMO1	PIAS2
PIAS2	FLI1
SUMO1	TP63
TP63	ETV4
CA2	NONO
NONO	HDAC3
HDAC3	IRF3
NONO	SMARCA4
SMARCA4	STAT1
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	SP1
CDKN2A	C1QBP
NONO	TRIM24
TRIM24	RXRA
SMARCA4	NR3C1
NR3C1	RXRB
TRIM24	RARA
RARA	RXRG
HDAC3	NFKB1
HDAC3	JUN
CA2	HSPD1
HSPD1	STUB1
STUB1	FOXO1
SLC4A1	CLU
CLU	CHUK
CHUK	FOXO3
CDKN2A	HSP90AA1
HSP90AA1	PPARA
NONO	SPI1
SPI1	ETS1
NONO	SFPQ
SFPQ	PPARG
CDKN2A	EGR1
SMARCA4	CEBPB
CDKN2A	HIF1A
NONO	PPP1CA
PPP1CA	CREB1
CDKN2A	E2F1
E2F1	SP2
CDKN2A	TP53
SFPQ	SP3
TRIM24	NR3C2
CDKN2A	BRCA1
BRCA1	NFYA
HSPD1	GAPDH
HSPD1	APP
CDKN2A	NCL
SMARCA4	CIITA
BRCA1	TFAP2A
HDAC3	RELA
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
BRCA1	ARNT
HSPD1	GID8
GID8	PDX1
CDKN2A	MYC
BRCA1	USF2
SMARCA4	ESR1
SPI1	FOS
SMARCA4	HSF1
NONO	SIN3A
SIN3A	MYB
HDAC3	HNF4A
NONO	HDAC1
PPP1CA	YAP1
NONO	HDAC2
NONO	HABP4
HABP4	UBE2I
SPI1	ETS2
BRCA1	FLI1
CDKN2A	TP63
ATP1A1	ATP6V1A
ATP6V1A	XIAP
XIAP	IRF3
ATP1A1	CCT7
CCT7	TRIM28
TRIM28	STAT1
ATP1A1	PHB
PHB	RB1
RB1	SP1
CCT7	KAT5
KAT5	CEBPA
ATP1A1	VDAC1
VDAC1	CLTC
CLTC	EP300
EP300	RXRA
ATP1A1	RPN1
RPN1	SGTA
SGTA	NR3C1
TRIM28	NR4A1
NR4A1	RXRG
RPN1	RPS3
RPS3	NFKB1
CCT7	CEBPE
CEBPE	JUN
PHB	ESR1
ESR1	FOXO1
PHB	YWHAZ
YWHAZ	FOXO3
VDAC1	PHB2
PHB2	NCOR1
NCOR1	PPARA
PHB	TP53
TP53	ETS1
RB1	PPARG
TRIM28	CEBPB
RPN1	OS9
OS9	HIF1A
KAT5	CREB1
ATP1A1	IPO5
IPO5	CAND1
CAND1	NR3C2
VDAC1	APOE
APOE	ELAVL1
ELAVL1	NFYC
CCT7	APP
ATP1A1	UQCRC2
UQCRC2	HNRNPK
HNRNPK	NCL
PHB	RAF1
RAF1	RFXANK
VDAC1	ATP5B
ATP5B	HSP90AA1
RB1	TFAP2A
RPS3	RELA
TRIM28	CREBBP
RB1	ARNT
RPN1	CCT3
CCT3	PDX1
RPN1	ARF1
ARF1	SPI1
CEBPE	FOS
RPN1	ACT1
ACT1	HSF1
PHB	AR
AR	HNF4A
PHB	HDAC1
RPN1	NPR1
NPR1	YAP1
HDAC1	GLI1
KAT5	UBE2I
CEBPE	POU2F1
PHB	PRKCD
PRKCD	FLI1
RPN1	SSA1
SSA1	UBA2
UBA2	ETV4
KCNMA1	HSP90AA1
HSP90AA1	IRF3
KCNMA1	VCP
VCP	STAT1
HSP90AA1	SP1
KCNMA1	YWHAZ
YWHAZ	NFATC4
NFATC4	CEBPA
KCNMA1	GSK3B
GSK3B	RXRA
KCNMA1	AKT1
AKT1	RARA
