SLC6A4	SNCA
SNCA	MAPK8
MAPK8	SP1
SNCA	PTK2
PTK2	TP53
SNCA	AKT1
AKT1	CREBBP
SNCA	CLTC
CLTC	EP300
SNCA	MAPK1
MAPK1	HIF1A
EP300	ARNT
SNCA	APP
APP	MYC
MYC	SMAD7
APP	MAPK7
MAPK7	ETS1
MAPK8	JUN
MAPK1	PPARG
MYC	TFAP2A
PTK2	STAT3
AKT1	ESR1
MAPK8	CEBPA
SNCA	PRKCD
PRKCD	FLI1
AKT1	CREB1
SNCA	HSPA8
HSPA8	POU2F1
MAPK8	JUND
EP300	SP3
MAPK8	ATF2
MAPK1	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
SNCA	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
SNCA	HSPA4
HSPA4	NFKB1
EP300	USF2
TP53	CDKN1A
CREBBP	CDKN1A
CREBBP	ALDOA
CREBBP	HK1
CREBBP	HMOX1
CREBBP	LDHA
CREBBP	PDK1
CREBBP	PFKL
EP300	CDKN1A
EP300	ALDOA
EP300	HK1
EP300	HMOX1
EP300	LDHA
EP300	PDK1
EP300	PFKL
HIF1A	CDKN1A
HIF1A	ALDOA
HIF1A	HK1
HIF1A	HMOX1
HIF1A	LDHA
HIF1A	PDK1
HIF1A	PFKL
ARNT	CDKN1A
ARNT	ALDOA
ARNT	HK1
ARNT	HMOX1
ARNT	LDHA
ARNT	PDK1
ARNT	PFKL
TP53	ZMAT3
TP53	CCNG1
PPARG	CYP27A1
RXRA	CYP27A1
RXRB	CYP27A1
RXRG	CYP27A1
SP1	AGT
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
USF2	HMOX1
ESR1	HSPB1
SP1	HSPB1
CREB1	LDHA
SP1	LDHA
PPARG	LIPA
SP1	TPI1
POU2F1	TXNRD1
