PDE4A	SQSTM1
SQSTM1	BAG3
BAG3	TFAP2A
SQSTM1	MAPK1
MAPK1	SP1
MAPK1	JUN
SQSTM1	NTRK1
NTRK1	STAT1
SQSTM1	NCOR1
NCOR1	ETS1
SQSTM1	MAPK14
MAPK14	CREB1
MAPK1	JUND
SQSTM1	HIF1A
MAPK1	SMAD3
MAPK1	CREBBP
MAPK1	EP300
HIF1A	ARNT
NTRK1	STAT3
SQSTM1	YWHAZ
YWHAZ	ABL1
ABL1	FOS
SQSTM1	ISG15
ISG15	SMAD4
YWHAZ	RFWD2
RFWD2	ETV4
RFWD2	JUNB
SQSTM1	BCL2
BCL2	MYC
BCL2	BRCA1
BRCA1	USF2
MAPK1	ESR1
SQSTM1	CUL3
CUL3	NFKB1
YWHAZ	ENO1
ENO1	E2F4
YWHAZ	CTNNB1
CTNNB1	LEF1
SQSTM1	UBC
UBC	DAZAP2
DAZAP2	TCF7
SQSTM1	FUS
FUS	TCF7L2
CTNNB1	TCF7L1
YWHAZ	TP53
MAPK1	PGR
BCL2	HSP90AA1
HSP90AA1	NFIC
SQSTM1	PRKCZ
PRKCZ	RELA
NCOR1	ETS2
SQSTM1	STAT5A
STAT5A	MYB
HSP90AA1	NR3C2
YWHAZ	YWHAQ
YWHAQ	YAP1
YWHAZ	WWTR1
WWTR1	TEAD1
SQSTM1	SNCA
SNCA	VPS52
VPS52	TEAD4
WWTR1	TEAD3
SQSTM1	tat
tat	POU2F1
NTRK1	SOS1
NTRK1	SOS2
SQSTM1	NFE2L2
NFE2L2	ATF4
YWHAZ	NFATC4
NFATC4	CEBPA
SQSTM1	CAMK2A
CAMK2A	ATF1
NTRK1	STAT5B
NCOR1	PPARA
MAPK1	PPARG
MAPK1	RXRA
SQSTM1	RARA
RARA	RXRB
SQSTM1	CUL1
CUL1	RXRG
PDE4B	MAGEA11
MAGEA11	EP300
EP300	TFAP2A
EP300	SP1
EP300	JUN
EP300	STAT1
EP300	ETS1
EP300	CREB1
EP300	JUND
EP300	HIF1A
EP300	SMAD3
EP300	CREBBP
EP300	ARNT
EP300	STAT3
EP300	FOS
EP300	SMAD4
EP300	TP63
TP63	ETV4
EP300	JUNB
EP300	MYC
EP300	USF2
EP300	ESR1
EP300	NFKB1
MAGEA11	RB1
RB1	E2F4
EP300	CTNNB1
EP300	PLSCR1
PLSCR1	DAZAP2
MAGEA11	AR
AR	TCF7L2
EP300	TP53
MAGEA11	PGR
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
EP300	RELA
EP300	ETS2
EP300	MYB
SMAD3	YAP1
EP300	NCOA1
NCOA1	TEAD1
MAGEA11	TRIM27
TRIM27	TEAD4
MAGEA11	E2F1
E2F1	TEAD3
MAGEA11	NR3C1
NR3C1	POU2F1
NR3C1	LCK
LCK	SOS1
ESR1	SOS2
EP300	ATF4
MAGEA11	MTA1
MTA1	CEBPA
EP300	BRCA1
BRCA1	ATF1
EP300	STAT5A
NR3C1	STAT5B
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	PPARA
EP300	PPARG
EP300	RXRA
NR3C1	RXRB
PPARG	RXRG
PDE4D	APP
APP	MYC
MYC	TFAP2A
APP	MAPK8
MAPK8	SP1
PDE4D	MDM2
MDM2	JUN
PDE4D	ARRB2
ARRB2	STAT1
APP	MAPK7
MAPK7	ETS1
APP	KAT5
KAT5	CREB1
MDM2	JUND
PDE4D	GNB2L1
GNB2L1	HIF1A
APP	GSK3B
GSK3B	SMAD3
PDE4D	LYN
LYN	CREBBP
MDM2	EP300
GNB2L1	RB1
RB1	ARNT
MAPK8	STAT3
MAPK7	FOS
APP	CSNK1D
CSNK1D	SMAD4
GNB2L1	TP63
MAPK8	JUNB
MDM2	ESR1
GSK3B	NFKB1
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	ALYREF
ALYREF	LEF1
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
MDM2	CTNNB1
LYN	TP53
APP	DDX54
DDX54	PGR
PDE4D	ARRB1
ARRB1	HSP90AA1
MDM2	RELA
CREBBP	ETS2
KAT5	MYB
APP	C9orf41
C9orf41	NR3C2
APP	TAF6
TAF6	YAP1
HGS	INSR
INSR	TEAD1
MDM2	GOLGA2
GOLGA2	TEAD4
MDM2	E2F1
APP	HSPA8
HSPA8	POU2F1
PDE4D	BIN1
BIN1	SOS1
BIN1	SOS2
ARRB2	NFKBIA
NFKBIA	ATF4
MAPK8	CEBPA
ARRB2	CSNK2A1
CSNK2A1	ATF1
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	AKAP13
AKAP13	PPARA
APP	RFX5
RFX5	PPARG
GSK3B	RXRA
AKAP13	RXRB
MDM2	CUL1
PDE4C	SRI
SRI	STAT3
STAT3	EP300
STAT3	SP1
STAT3	JUN
STAT3	STAT1
STAT3	HIF1A
SRI	TCF12
TCF12	SMAD3
TCF12	CREBBP
STAT3	PML
PML	ARNT
PML	FOS
TCF12	SMAD2
SMAD2	ETV4
PML	MYC
STAT3	NFKB1
PML	E2F4
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
PML	TCF7L2
PML	CTNNB1
SRI	ANXA7
ANXA7	TP53
STAT3	PGR
SRI	SOD1
SOD1	RFX1
RFX1	NFIC
STAT3	RELA
PML	MYB
SRI	ALG2
ALG2	HSP90AA1
PML	YAP1
STAT3	NCOA1
EP300	GOLGA2
YAP1	TEAD3
RELA	POU2F1
STAT3	EGFR
EGFR	SOS1
EGFR	SOS2
STAT3	CDKN1A
CDKN1A	CEBPA
CREBBP	ATF1
EGFR	STAT5B
RELA	PPARA
PML	PPARG
PML	RXRA
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
PGD	GNAI3
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
PGD	SUMO3
SUMO3	PML
PML	SP1
PML	JUN
GNAI3	XPO1
XPO1	STAT1
SUMO3	UBE2I
UBE2I	ETS1
PGD	RPS6KA1
RPS6KA1	CREB1
RPS6KA1	MAPK1
PGD	P4HB
P4HB	VCP
VCP	HIF1A
SUMO3	PIAS3
PIAS3	SMAD3
PML	CREBBP
PGD	TALDO1
TALDO1	TP73
TP73	EP300
GNAI3	GNB2
GNB2	STAT3
PIAS3	SMAD4
SUMO3	UBA2
UBA2	ETV4
NPM1	JUNB
TP73	MYC
RPS6KA1	ESR1
SUMO3	RL2
RL2	NFKB1
XPO1	E2F4
TALDO1	CFDP1
CFDP1	RUVBL1
RUVBL1	LEF1
GNAI2	PLSCR1
P4HB	PTN
PTN	CTNNB1
P4HB	SERPINH1
SERPINH1	TP53
PGD	GDI1
GDI1	SGTA
SGTA	PGR
RPS6KA1	HSP90AA1
GDI1	RAC3
RAC3	RELA
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS2
YAP1	TEAD1
GNAI3	GNG5
GNG5	GOLGA2
YWHAQ	E2F1
PGD	EEF2
EEF2	XRCC6
XRCC6	POU2F1
PGD	FABP5
FABP5	GRB2
GRB2	SOS1
GRB2	SOS2
RPS6KA1	NFKBIA
YWHAQ	CDKN1A
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
ESR1	STAT5A
P4HB	CALU
CALU	EGFR
XPO1	PPARG
NR3C2	ATP1A1
NR3C2	ATP1B1
TP53	GADD45A
TP53	SFN
JUN	NFKB1
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
SMAD3	MYC
STAT1	MYD88
CREBBP	ENO1
CREBBP	LDHA
CREBBP	TFRC
CREBBP	TIMP1
EP300	ENO1
EP300	LDHA
EP300	TFRC
EP300	TIMP1
HIF1A	ENO1
HIF1A	LDHA
HIF1A	TFRC
HIF1A	TIMP1
ARNT	ENO1
ARNT	LDHA
ARNT	TFRC
ARNT	TIMP1
YAP1	MYC
TEAD1	MYC
TEAD4	MYC
TEAD3	MYC
SOS1	MYC
SOS2	MYC
STAT1	MYC
STAT3	MYC
STAT5A	MYC
STAT5B	MYC
TP53	SERPINB5
MYC	CKS1B
PPARA	NR1H3
PPARA	SCD
PPARG	NR1H3
PPARG	SCD
RXRA	NR1H3
RXRA	SCD
RXRB	NR1H3
RXRB	SCD
RXRG	NR1H3
RXRG	SCD
LEF1	MMP7
LEF1	FOSL1
TCF7	MMP7
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
TCF7L1	MMP7
TCF7L1	FOSL1
CREB1	CD55
MYB	CDK1
SP1	CDK1
TP53	HSP90AB1
NFIC	ALAS1
SP1	APEX1
ATF1	AQP3
CREB1	AQP3
CREB1	ATP1A1
HIF1A	BNIP3
E2F4	CAV1
SP1	CAV1
TP53	CAV1
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
E2F4	CDC45
E2F4	CDK1
ETS2	CDK1
CEBPA	FN1
CREB1	FN1
NFKB1	FN1
RELA	FN1
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARG	GADD45A
JUN	GJA1
SP1	GJA1
NFIC	GOT1
CREB1	GSTP1
FOS	GSTP1
NFIC	HSPA1A
TFAP2A	HSPA1A
ESR1	HSPB1
SP1	HSPB1
NFKB1	IER3
NFKB1	KLK3
PGR	KLK3
TP53	KLK3
TFAP2A	KRT14
SP1	KRT18
SP1	KRT5
