PDE4A	SQSTM1
SQSTM1	YWHAZ
YWHAZ	TP53
SQSTM1	NTRK1
NTRK1	STAT3
SQSTM1	RARA
SQSTM1	MAPK1
MAPK1	CEBPB
CEBPB	RARB
SQSTM1	AJUBA
AJUBA	RARG
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
SQSTM1	BCL2
BCL2	HSP90AA1
HSP90AA1	NFIC
SQSTM1	HIF1A
NTRK1	STAT1
SQSTM1	NCOR1
NCOR1	PPARA
PDE4B	MAGEA11
MAGEA11	EP300
EP300	TP53
EP300	STAT3
EP300	RARA
EP300	NCOA1
NCOA1	RARB
EP300	NCOA3
NCOA3	RARG
EP300	NFKB1
EP300	RELA
MAGEA11	NR3C1
NR3C1	NFKB2
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
EP300	HIF1A
EP300	STAT1
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	PPARA
PDE4D	LYN
LYN	TP53
PDE4D	APP
APP	MAPK8
MAPK8	STAT3
APP	PHF8
PHF8	RARA
PDE4D	MDM2
MDM2	SMARCE1
SMARCE1	RARB
MDM2	MRPL12
MRPL12	RARG
APP	GSK3B
GSK3B	NFKB1
MDM2	RELA
PDE4D	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB2
PDE4D	ARRB1
ARRB1	HSP90AA1
PDE4D	GNB2L1
GNB2L1	HIF1A
ARRB2	STAT1
APP	AKAP13
AKAP13	PPARA
PDE4C	SRI
SRI	ANXA7
ANXA7	TP53
SRI	STAT3
STAT3	PML
PML	RARA
STAT3	NCOA1
NCOA1	RARG
STAT3	NFKB1
STAT3	RELA
STAT3	NFKB2
SRI	SOD1
SOD1	RFX1
RFX1	NFIC
STAT3	HIF1A
STAT3	STAT1
RELA	PPARA
PGD	P4HB
P4HB	SERPINH1
SERPINH1	TP53
PGD	GNAI3
GNAI3	GNB2
GNB2	STAT3
PGD	SUMO3
SUMO3	PML
GNAI3	YWHAQ
YWHAQ	NCOA1
YWHAQ	NCOA3
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
P4HB	VCP
VCP	NFKB2
PGD	RPS6KA1
RPS6KA1	HSP90AA1
VCP	HIF1A
GNAI3	XPO1
XPO1	STAT1
SUMO3	UBE2I
HIF1A	VEGFC
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
STAT1	SOCS5
STAT3	SOCS5
NFKB2	CXCL12
TP53	THBS1
NFKB1	VEGFC
RELA	VEGFC
STAT1	VEGFC
STAT3	VEGFC
HIF1A	TGFB3
NFKB1	TRAF5
NFKB2	TRAF5
RELA	TRAF5
PPARA	EHHADH
PPARA	FADS2
NFIC	ALAS1
TP53	CHEK1
RARA	MIF
RARB	MIF
RARG	MIF
RARA	S100A9
RARB	S100A9
RARG	S100A9
