CA6	KRT31
KRT31	TSG101
TSG101	EP300
EP300	CREBBP
TSG101	TP53
TP53	IRF7
TSG101	MDM2
MDM2	MYD88
EP300	USF2
EP300	CREB1
EP300	FOXO3
KRT31	HGS
HGS	ITCH
ITCH	GLI1
KRT31	HDAC4
HDAC4	SP1
KRT31	LMO4
LMO4	HDAC1
HDAC1	GLI2
HDAC1	GLI3
HDAC4	HIF1A
EP300	ARNT
KRT31	PIN1
PIN1	JUN
EP300	FOS
LMO4	ESR1
EP300	VDR
TSG101	NONO
NONO	SPI1
TSG101	CDKN1A
CDKN1A	CEBPA
HDAC4	NFKB1
PIN1	RELA
EP300	RXRA
TSG101	NR3C1
NR3C1	RXRB
LMO4	PPARG
PPARG	RXRG
EP300	TFAP2A
LMO4	HDAC2
HDAC2	PPARD
TSG101	UBE2I
UBE2I	PPARA
HDAC4	STAT1
EP300	SP3
KRT31	PSMA1
PSMA1	REL
REL	NEUROG3
EP300	ETS1
TSG101	NFKB2
HDAC4	MAPK1
HDAC4	MAPK3
LMO4	BRCA1
BRCA1	ATF1
HGS	ESRRG
ESRRG	MEOX2
MEOX2	PAX1
EP300	ZBTB17
KRT31	CLDN2
CLDN2	PIAS2
HDAC4	ATF3
ATF3	PDX1
EP300	MAPK14
KRT31	PKN1
PKN1	MAPK11
PSMA1	VCP
VCP	MAPK13
CDKN1A	MAPK8
TP53	MAPK9
TP53	MAPK10
NFKB1	XIAP
NFKB1	BCL2
RELA	XIAP
RELA	BCL2
GLI1	WNT11
GLI2	WNT11
GLI3	WNT11
ZBTB17	CDKN2B
CREB1	PER3
ESR1	TRPV5
ESR1	SLC8A1
ESR1	CALB1
VDR	TRPV5
VDR	SLC8A1
VDR	CALB1
CREBBP	FASLG
EP300	FASLG
CREBBP	EPO
CREBBP	NPPA
CREBBP	PFKFB3
CREBBP	PFKFB4
CREBBP	BCL2
EP300	EPO
EP300	NPPA
EP300	PFKFB3
EP300	PFKFB4
EP300	BCL2
HIF1A	EPO
HIF1A	NPPA
HIF1A	PFKFB3
HIF1A	PFKFB4
HIF1A	BCL2
ARNT	EPO
ARNT	NPPA
ARNT	PFKFB3
ARNT	PFKFB4
ARNT	BCL2
MYD88	IL1B
NEUROG3	NEUROD1
NFKB1	IL1B
NFKB1	CCL4
RELA	IL1B
RELA	CCL4
TP53	BAX
ETS1	MMP2
FOS	MMP2
HIF1A	TGFA
HIF1A	TGFB2
JUN	MMP2
NFKB2	XIAP
NFKB2	BCL2
PIAS2	CDKN2B
CREB1	BCL2
FOXO3	FASLG
FOXO3	RBL2
PPARA	HMGCS2
PPARD	ACADL
RXRA	HMGCS2
RXRA	ACADL
RXRB	HMGCS2
RXRB	ACADL
RXRG	HMGCS2
RXRG	ACADL
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
FOS	IL1B
FOS	CCL4
IRF7	IFNA4
IRF7	IFNA14
IRF7	IFNA16
IRF7	IFNA17
JUN	IL1B
JUN	CCL4
STAT1	CXCL9
MAPK14	IL1B
MYD88	IFNA4
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
MAPK1	IL1B
MAPK3	IL1B
MAPK8	IL1B
MAPK11	IL1B
MAPK9	IL1B
MAPK10	IL1B
MAPK13	IL1B
SP1	COL4A2
SP1	COL4A1
SP1	GAST
GLI1	BCL2
ATF1	BCL2
CEBPA	BCL2
TP53	BCL2
TP53	CHEK1
SP1	COL2A1
SP3	COL2A1
CEBPA	F9
ATF1	IL1B
CREB1	IL1B
SP1	IL1B
SPI1	IL1B
SP1	LCAT
SP3	LCAT
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
USF2	LIPC
CEBPA	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
JUN	NPPA
USF2	PTPN6
CREB1	SLC9A1
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
