HTR2A	CBL
CBL	GRB2
GRB2	HTT
HTT	ETV4
CBL	CTNNB1
CTNNB1	CREBBP
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA8
HSPA8	ERG
CBL	HSPA4
HSPA4	NFKB1
HSPA8	POU2F1
GRB2	HSP90AA1
HSP90AA1	NFIC
DRD2	FLNA
FLNA	REL
REL	ATXN1
ATXN1	ETV4
REL	CREBBP
REL	EP300
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
FLNA	RANBP2
RANBP2	TP53
CALM1	HSPA4
HSPA4	ERG
REL	NFKB1
FLNA	LMNA
LMNA	LMNB1
LMNB1	POU2F1
NFKB1	BIRC2
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
NFIC	AFP
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
POU2F1	TXNRD1
ERG	VIM
ETV4	VIM
