HTR2A	CBL
CBL	SMAD3
SMAD3	YAP1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	GRB2
GRB2	TSG101
TSG101	NFKB2
CBL	MAPK8
MAPK8	ELK1
CBL	CTNNB1
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
CTNNB1	SP1
SMAD3	FOS
SMAD3	CEBPA
GRB2	EP300
EP300	ATF4
SMAD3	CEBPB
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	YAP1
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
REL	NFKB2
DRD2	EPB41L1
EPB41L1	APP
APP	ELK1
FLNA	LMNA
LMNA	CTNNB1
REL	ATXN1
ATXN1	DAZAP2
DRD2	CALM1
CALM1	AR
AR	TCF7L2
EPB41L1	COPS5
COPS5	NCOA1
NCOA1	TEAD1
FLNA	BSG
BSG	VPS52
VPS52	TEAD4
PPP1R9B	CDKN2A
CDKN2A	E2F1
E2F1	TEAD3
CDKN2A	SP1
LMNA	PML
PML	FOS
LMNA	KAT5
KAT5	CEBPA
DRD2	PAWR
PAWR	SHMT2
SHMT2	ATF4
CALM1	ESR1
ESR1	CEBPB
NFKB1	BIRC2
NFKB1	BIRC3
RELA	BIRC2
RELA	BIRC3
ELK1	BIRC2
ELK1	BIRC3
YAP1	AFP
YAP1	BIRC2
LEF1	BIRC2
TCF7	BIRC2
TCF7L2	BIRC2
TEAD1	BIRC2
TEAD4	BIRC2
TEAD3	BIRC2
TCF7L1	BIRC2
NFKB2	BIRC2
NFKB2	BIRC3
CEBPA	AFP
CEBPB	AFP
NFKB1	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
ATF4	ASNS
SP1	CAV1
CEBPA	GPX4
FOS	NQO1
