CA1	TFCP2
TFCP2	SUMO1
SUMO1	TP53
TP53	ETS2
TFCP2	HDAC1
HDAC1	CREB1
SUMO1	BLM
BLM	ELK4
SUMO1	PML
PML	SRF
TFCP2	EAF1
EAF1	TOP1
TOP1	ELK3
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
SUMO1	UBE2I
UBE2I	ELK1
TFCP2	HDAC2
HDAC2	RARA
HDAC2	ESR1
HDAC1	NFKB1
HDAC2	SP1
CREB1	FOS
TP53	GADD45A
ELK1	FOS
ELK4	FOS
SRF	FOS
NFKB1	PLAU
TP53	BAX
CEBPA	TWF2
CREB1	TWF2
ELK1	TWF2
ETS2	TWF2
SP1	CDK1
ETS2	CDK1
SP1	CTGF
ELK3	FOS
ESR1	FOS
ETS2	FOS
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
RARA	GADD45A
TP53	NFIC
ETS2	PLAU
RARA	PLAU
SP1	PLAU
