HTR2A	CBL
CBL	CTNNB1
CTNNB1	HIF1A
ADRA2A	UCHL1
UCHL1	CTNNB1
HTR2C	DLG4
DLG4	MDM2
MDM2	HIF1A
OPRK1	SIAH1
SIAH1	STAT3
STAT3	HIF1A
ADRA2C	UCHL1
HTR7	CUL3
CUL3	CTNNB1
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
ADRA1D	GOPC
GOPC	RELA
RELA	HIF1A
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
DRD3	GIPC1
GIPC1	MCM7
MCM7	HIF1A
SLC6A2	SNCA
SNCA	MAPK1
MAPK1	HIF1A
SLC6A4	SNCA
SLC6A3	TGFB1I1
TGFB1I1	SMAD3
SMAD3	HIF1A
HTR2B	AGTR1
AGTR1	MAPK1
DRD1	RANBP9
RANBP9	ESR1
ESR1	HIF1A
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	HIF1A
ADRB1	ARRB2
ARRB2	CAPN1
CAPN1	HIF1A
ADRB2	STAT3
HIF1A	LTBR
