NISCH	IRS1
IRS1	ESR1
ESR1	SP1
ESR1	HIF1A
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
EP300	ARNT
ESR1	SP3
IRS1	PIK3CA
PIK3CA	SMAD3
IRS1	APP
APP	CSNK1D
CSNK1D	SMAD4
EP300	EGR1
ESR1	SMAD2
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
APP	MYC
MYC	TFAP2A
IRS1	HDAC2
HDAC2	GLI1
ESR1	HDAC1
HDAC1	GLI2
CREBBP	GLI3
MYC	RUNX1
HDAC2	RUNX1T1
IRS1	SIRT1
SIRT1	EPAS1
SIRT1	PPARA
APP	TAF6
TAF6	YAP1
APP	MAPK8
MAPK8	ATF2
IRS1	IGF1R
IGF1R	TP53
APP	HSPA8
HSPA8	POU2F1
APP	RFX5
RFX5	PPARG
EP300	USF2
GRB2	HSP90AA1
HSP90AA1	NFIC
RUNX1	JUP
RUNX1T1	JUP
GLI1	BMP4
GLI1	WNT10B
GLI1	WNT11
GLI2	BMP4
GLI2	WNT10B
GLI2	WNT11
GLI3	BMP4
GLI3	WNT10B
GLI3	WNT11
CREBBP	EDN1
CREBBP	HK3
CREBBP	SLC2A1
EP300	EDN1
EP300	HK3
EP300	SLC2A1
HIF1A	EDN1
HIF1A	HK3
HIF1A	SLC2A1
ARNT	EDN1
ARNT	HK3
ARNT	SLC2A1
YAP1	CTGF
SMAD2	CTGF
SMAD3	CTGF
SMAD4	CTGF
SMAD2	SLC2A1
SMAD3	SLC2A1
SMAD4	SLC2A1
EPAS1	SLC2A1
EPAS1	TGFB3
HIF1A	TGFB3
PPARA	HMGCS2
PPARA	APOA1
PPARA	APOC3
PPARG	GK2
PPARG	CD36
RXRA	GK2
RXRA	HMGCS2
RXRA	APOA1
RXRA	APOC3
RXRA	CD36
RXRB	GK2
RXRB	HMGCS2
RXRB	APOA1
RXRB	APOC3
RXRB	CD36
RXRG	GK2
RXRG	HMGCS2
RXRG	APOA1
RXRG	APOC3
RXRG	CD36
TP53	HSP90AB1
SP1	APEX1
EGR1	APOA1
SP3	APOA1
ATF2	APOC3
USF2	APOC3
TFAP2A	CALB2
SP3	CHI3L1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP1	CTGF
SP1	GJA1
NFIC	GOT1
EGR1	IL2
POU2F1	IL2
SP1	IL2
POU2F1	IL4
ATF2	INS
SP1	ITGA2
TFAP2A	ITGA2
SMAD2	SP1
USF2	SP1
SMAD3	ZFP36
SMAD4	ZFP36
