ADRB1	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	IGF1R
IGF1R	TP53
ARRB2	XRCC5
XRCC5	BRCA1
ARRB2	MAPK1
MAPK1	ATF2
ARRB2	MAP2K4
MAP2K4	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
RPA1	PGRMC1
PGRMC1	CREB3L1
ARRB2	NFKBIA
NFKBIA	ATF4
RPA1	MOV10
MOV10	ATF6B
ARRB2	HNRNPA1
HNRNPA1	KRT15
KRT15	CREB5
ARRB2	TRIM28
TRIM28	E2F4
NFKBIA	NFKB1
ARRB2	XRCC6
XRCC6	PPARG
ARRB2	PRMT5
PRMT5	RELA
XRCC6	POU2F1
ARRB2	CDK3
CDK3	PPARA
MAPK1	RXRA
ARRB2	MLLT4
MLLT4	NR2C2
NR2C2	RXRB
RPA1	CUL1
CUL1	RXRG
ADRB2	MAPK14
MAPK14	CREB1
ADRB2	TSG101
TSG101	TP53
ADRB2	UBC
UBC	BRCA1
MAPK14	ATF2
ADRB2	SHMT2
SHMT2	CREB3
ADRB2	REL
REL	CEP19
CEP19	CREB3L2
ADRB2	PGRMC1
SHMT2	ATF4
ADRB2	GRB2
GRB2	RBM33
RBM33	ATF6B
ADRB2	RGS20
RGS20	CREB5
ADRB2	STAT3
STAT3	PML
PML	E2F4
STAT3	NFKB1
ADRB2	NEDD4
NEDD4	PPARG
STAT3	RELA
ADRB2	LMNB1
LMNB1	POU2F1
RELA	PPARA
ADRB2	SRC
SRC	RXRA
TSG101	NR3C1
NR3C1	RXRB
SRC	THRB
THRB	RXRG
TP53	GADD45A
CREB1	PER3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
PPARA	ACSL1
PPARG	ACSL1
PPARG	PLIN1
RXRA	ACSL1
RXRA	PLIN1
RXRB	ACSL1
RXRB	PLIN1
RXRG	ACSL1
RXRG	PLIN1
NFKB1	CEBPB
RELA	CEBPB
POU2F1	AKR1C2
NFKB1	F8
BRCA1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARG	GADD45A
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
