ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
IGF1R	ESR1
IGFBP3	FN1
FN1	HDAC1
HDAC1	GLI1
HDAC1	GLI2
COL1A1	ITGB1
ITGB1	PRKCA
PRKCA	GLI3
UBL4A	HSPA2
HSPA2	MEOX2
MEOX2	PAX1
IGF1R	MDM2
MDM2	MYD88
UBL4A	C1QBP
C1QBP	CEBPA
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
TP53	IRF7
UBL4A	HSP90AA1
HSP90AA1	PPARA
ITGB1	GNB2L1
GNB2L1	HIF1A
IGFBP3	CD44
CD44	EP300
EP300	USF2
UBL4A	NPM1
NPM1	TFAP2A
GLI1	WNT3
GLI1	WNT2B
GLI1	WNT5B
GLI2	WNT3
GLI2	WNT2B
GLI2	WNT5B
GLI3	WNT3
GLI3	WNT2B
GLI3	WNT5B
ESR1	TRPV5
HIF1A	TEK
MYD88	IL12B
TP53	RRM2
PPARA	FABP1
PPARA	APOC3
PPARA	ACOX2
RXRA	FABP1
RXRA	FABP3
RXRA	APOC3
RXRA	OLR1
RXRA	ACOX2
RXRB	FABP1
RXRB	FABP3
RXRB	APOC3
RXRB	OLR1
RXRB	ACOX2
RXRG	FABP1
RXRG	FABP3
RXRG	APOC3
RXRG	OLR1
RXRG	ACOX2
IRF7	IFNA2
IRF7	IFNA14
MYD88	IFNA2
MYD88	IFNA14
CEBPA	ALB
SP1	ALB
USF2	APOC3
TP53	BAK1
TFAP2A	CCNB1
USF2	CCNB1
SP1	COL2A1
ESR1	HSPB1
SP1	HSPB1
TP53	PLK1
CEBPA	SERPINC1
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
