HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
PRKCA	MAPK1
MAPK1	TP53
PRKCA	HRAS
HRAS	JUN
MAPK1	ETS1
MAPK1	SMAD2
SMAD2	SP1
SMAD2	E2F4
RAF1	RELA
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	MTOR
MTOR	PPARG
PRKCA	CREB3
CREB3	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ESR1
MAPK1	ETS2
MAPK1	SMAD3
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PRKCA	CREB1
PRKCA	ATF4
TNF	VCAM1
CREB3	NPY
ATF2	BDNF
ATF6B	NPY
CREB3L2	BDNF
CREB5	BDNF
GLI3	PTCH1
PAX6	GCK
PAX6	INS
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DPA1
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
REL	CSF2
SP3	CTSL
EGR1	EGFR
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
USF1	HMOX1
USF2	HMOX1
STAT1	IFNG
STAT5B	IFNG
TFAP2A	IGFBP3
SP1	IL1A
POU2F2	IL2
CEBPB	IL4
ETV4	MMP9
