HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	MAPK1
MAPK1	STAT3
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	CREB1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
MAP3K1	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
MAPK1	MYC
GLI3	WNT3
CREB3	PCNA
CREB3L1	PCNA
CREBBP	VEGFB
EP300	VEGFB
CREB3L4	MITF
RXRB	CYP4A11
RXRB	ACSL3
RXRG	SORBS1
RXRG	CYP27A1
MYD88	IFNA10
NFYA	HLA-DQA1
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
USF1	B2M
SP1	DKC1
FOS	MT1A
SP1	RELA
USF2	SP1
FOS	TIMP1
HIF1A	TP53
