HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
HRAS	RAF1
RAF1	NFKB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	TP53
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
RAF1	RELA
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
MAPK1	ESR1
HRAS	JUN
CREB3L4	PDYN
CREB3L2	PDYN
GLI3	PTCH1
GLI3	BMP4
STAT4	CCND3
STAT5B	CCND2
TP53	PERP
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRA	ACSL5
NFYA	LOC100507714
RFX5	HLA-DRB4
RFX5	HLA-DRB5
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	TWF2
EGR1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
USF2	CALCA
E2F4	CAV1
SP1	CAV1
USF2	CEACAM5
STAT4	IRF1
CEBPA	IVL
ETV4	MMP9
PPARG	MMP9
