DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK14
MAPK14	ELK4
ADCY1	PRKACA
PRKACA	NFATC1
NFATC1	SRF
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	NFKB1
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
PRKACA	PPARA
PRKACA	CREB1
PRKACA	XBP1
XBP1	CEBPA
JAK2	STAT1
PRKACA	ATF2
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
MAPK8	ELK1
PRKACA	MAPK1
MAPK1	ETS2
MAPK8	JUN
JAK2	PIK3R5
PIK3R5	HIF1A
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	EP300
CREBBP	ARNT
CREBBP	SP1
STAT3	ESR2
MAPK8	SMAD3
CREB3L3	FOSB
CREB3L1	FOSB
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
GLI3	PTCH1
FOSB	RELA
CREB1	IL8
CREB5	PCNA
CREBBP	HKDC1
EP300	HKDC1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
CREB3L3	MITF
MAPK1	CDK4
MAPK1	CCND1
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRG	ACSL1
MAPK1	IL18
RFXAP	HLA-DRA
LEF1	PPARD
LEF1	FOSL1
TCF7	JUN
TCF7	MMP7
TCF7	PPARD
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
PPARG	SAT1
TFAP2A	CGA
TP53	CHEK1
NFKB1	CSF1
ETS1	CSF2
USF1	HMOX1
RELA	IL2
RELA	IL2RA
POU2F2	IL4
ETS1	IL5
JUND	IL5
SPI1	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
CEBPB	IL8
ETV4	MMP9
TFAP2A	PENK
CREB1	REN
ETS1	SPP1
JUNB	TIMP1
NFIC	TP53
