HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	NFKB1
NFKB1	CEBPB
PRKACA	MAPK1
MAPK1	STAT3
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	PPARA
PRKACA	CREB1
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	SMAD2
SMAD2	E2F4
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PPP2CA	WWTR1
NR3C2	ATP1A2
HIF1A	BCL2
HIF1A	HKDC1
ARNT	GAPDH
EPAS1	TGFB2
RELA	CCND1
PPARA	ACSL4
PPARG	GK
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
NFYC	HLA-DRA
NFYC	HLA-DRB1
MAPK10	IL12A
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MYBL1	TSC22D3
ATF3	ASNS
CREB1	ATP1A1
RELA	COL1A1
SP1	COL1A1
SP3	CTSL
EGR1	EGFR
CEBPB	IL5
POU2F1	VWF
