HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	RELA
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	JUN
NFKB1	TP53
MAPK1	STAT3
PRKACA	ATF2
MAPK1	ETS1
MAPK1	ELK1
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	MYC
NFKB1	NFKB2
PRKACA	CREB3
PRKACA	CREB1
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	ESR1
PRKACA	MAPK3
NFKB1	TRAF6
TRAF6	MYD88
CREBBP	SP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
NFKB1	MYB
MAPK1	SMAD2
SMAD2	E2F4
NFKB1	CEBPB
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	SMAD3
PRKACA	MAPK14
PRKACA	MAPK11
PRKACA	MAPK13
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	SMAD4
MAPK1	FOS
IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
CREB3L1	CRH
CREB3L1	BDNF
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
NPAS2	RORA
NPAS2	RORC
NPAS2	BHLHE40
NPAS2	NR1D1
CLOCK	CRY2
CLOCK	RORA
JUN	RELA
FOS	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
CTNNB1	CCND3
EGR3	FASLG
MAPK10	SMAD4
RELA	IL6
CREBBP	FIGF
CREBBP	PFKFB4
CREBBP	PFKL
EP300	FIGF
EP300	PFKFB4
EP300	PFKL
HIF1A	FIGF
HIF1A	TFRC
ARNT	EGF
ARNT	PFKFB1
ARNT	PGK1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
SOS1	SPRY1
SOS1	SPRED1
STAT3	SOCS2
STAT3	CCND3
HNF1A	HNF4G
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53
TP53	SESN3
EPAS1	TGFB2
MYC	CKS1B
RELA	CCND1
CREB1	BCL2
PPARA	ACSL4
PPARA	ACOX1
PPARG	GK
PPARG	UCP1
RXRB	ACOX3
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
FOS	IL12B
IRF7	IFNA4
IRF7	IFNA14
NFKB1	CEBPB
NFKB1	IL23A
MAPK10	IL12B
MAPK10	NOS2
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	HLA-DMA
RFXANK	HLA-DMA
SP1	COL4A2
SP3	ABCA1
SP1	CDKN1A
EGR1	COL2A1
SP3	COL2A1
BRCA1	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
PAX5	FCER2
CEBPA	FN1
TFAP2A	HMOX1
CREB1	IFNG
STAT4	IFNG
CEBPA	IGF2
FLI1	IGFBP3
CEBPB	IL1A
CREB1	IL1B
CREB1	IL2
ETS2	IL2
REL	IL2RA
STAT3	IL2RA
TP53	IL8
ATF2	INS
CEBPA	ITGA2
SP1	ITGA2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
CREB1	ODC1
WT1	ODC1
NFIC	PCK2
TP53	PCNA
ELK1	PDGFB
SP1	PDGFB
CREM	PLAT
JUN	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
MYC	PTMA
RARG	S100A9
POU2F1	SFTPA1
NFIC	SFTPC
TFAP2A	TAF7
CREM	TH
HOXA4	TH
ATF1	TNF
SMAD3	TNNC1
SMAD4	TNNC1
CREB1	TRH
