KCNMA1	CACNA1C
CACNA1C	INS
INS	MAPK1
MAPK1	TP53
CACNA1C	CALML6
CALML6	HRAS
HRAS	JUN
MAPK1	NFKB1
MAPK1	RELA
TP53	TP73
INS	PIK3R5
PIK3R5	HIF1A
CALML6	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CREBBP	SP1
CAMK2A	STAT1
STAT1	MYD88
MAPK1	SMAD2
SMAD2	YAP1
TFDP2	CCNE2
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
EP300	ENO2
HIF1A	TEK
SMAD2	CTGF
SOS1	SPRY1
MITF	TYR
LEF1	MITF
PIK3CA	PDPK1
MYD88	IFNA10
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
TCF7L2	MMP7
TCF7L2	FOSL1
ATF1	BCL2
ERG	HMOX1
SPI1	NFKB1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
STAT3	TIMP1
SMAD3	ZFP36
