CHRNA3	JAK2
JAK2	STAT3
STAT3	CCND1
CCND1	RBL1
RBL1	E2F4
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
JAK2	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
JAK2	STAT1
STAT3	ESR1
ESR1	SP1
JAK2	PTPN11
PTPN11	MAPK1
MAPK1	SMAD3
AKT3	JUN
PIK3R5	HRAS
HRAS	FOS
PIK3R5	HIF1A
MAPK1	ETS1
AKT3	CREB1
MAPK1	SMAD4
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
HRAS	MAPK8
MAPK8	JUND
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK8	JUNB
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
RBPJ	HES1
RBPJ	HES5
TP53	BAI1
TP53	BAX
IRF1	IL12A
PPARA	ACADM
PPARG	PCK2
RXRB	ILK
RXRG	FABP4
IRF7	IFNA10
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK12	IL1A
JUN	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
E2F1	HIST1H2AM
NFIC	HMOX1
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
