ADORA1	GNAI1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	MAPK1
MAPK1	RELA
GNAI1	HRAS
HRAS	JUN
HRAS	FOS
MAPK1	NFKB1
CREBBP	EPAS1
MAPK1	ETS1
MAPK1	STAT3
MAPK1	STAT1
MAPK1	TP53
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
HRAS	MAPK1
ADORA2A	GNAS
GNAS	SRC
SRC	STAT3
PDE4B	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
PRKACA	RELA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	FOS
PRKACA	MAPK1
MAPK8	TP53
RYR1	PRKCA
PRKCA	MTOR
MTOR	HIF1A
RYR1	CALML6
CALML6	CAMK2A
PRKCA	RAF1
CALML6	HRAS
PRKCA	FOS
PRKCA	EGLN2
EGLN2	EPAS1
PRKCA	MAPK1
CAMK2A	STAT1
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
MAPK1	JUN
MAPK1	FOS
NFKB1	TP53
PDE5A	HPRT1
HPRT1	PDE3B
PDE6C	HPRT1
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE6A	HPRT1
PDE6B	HPRT1
PRKDC	TP53
TP53	PTEN
PTEN	PIK3R5
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
PTEN	AKT3
AKT3	RELA
AKT3	JUN
ITGB1	PRKCA
AKT3	NFKB1
THBS1	PTK2
PTK2	MAPK1
ITGB1	SRC
PIK3CD	HIF1A
PIK3CD	AKT3
PIK3CD	HRAS
PIK3CA	HIF1A
PIK3CA	AKT3
PIK3CA	HRAS
PIK3CB	HIF1A
PIK3CB	AKT3
PIK3CB	HRAS
ITPR1	CAMK2A
CREBBP	HIF1A
CAMK2A	MAPK1
ITPR1	CALML6
ITPR1	PRKCA
ITPR2	CAMK2A
ITPR2	CALML6
ITPR2	PRKCA
ITPR3	CAMK2A
ITPR3	CALML6
ITPR3	PRKCA
ATM	TP53
RUNX1	JUP
RUNX1T1	JUP
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ELK1	BIRC2
NFATC1	TNF
RELA	MMP9
CREBBP	HMOX1
CREBBP	PGF
EP300	HMOX1
EP300	PGF
HIF1A	HMOX1
TEAD1	CTGF
TEAD4	SOX2
VDR	S100G
NFKB1	NFKB2
NFKB1	CCL4
NFKB1	CFLAR
NFKB2	CCL19
NFKB2	CCL21
RELA	IL1B
RELA	TRAF2
RELA	VCAM1
PIK3R5	AKT2
PIK3CA	AKT2
PIK3CB	AKT3
PIK3CG	AKT3
PIK3CG	AKT1
RBPJ	HES1
TP53	BAI1
MAPK1	TNF
USF2	CALCA
E2F4	CAV1
JUN	COL1A1
MYBL2	COL1A1
RARA	CRABP2
STAT1	EGFR
SMAD7	HMOX1
STAT3	HMOX1
CREB1	ICAM1
CREM	ICAM1
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
ESR1	PTMA
SP1	SERPINB2
ETS1	SLC26A3
NFKB1	TFPI2
HOXA5	TH
ETV4	TNF
SP3	TNNC1
USF1	TYMS
