ADORA1	GNAI1
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	SMAD2
SMAD2	SP1
GNAI1	PIK3R5
PIK3R5	HIF1A
MAPK1	SMAD3
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	CREB1
HRAS	FOS
MAPK1	STAT3
MAPK1	STAT1
MAPK1	ETS1
GNAI1	MAPK8
MAPK8	JUND
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GNAI1	MAPK14
MAPK14	CEBPB
MAPK8	JUNB
MAPK1	ELK1
ELK1	EGR1
MAPK1	NFKB1
PRKACA	CREM
MAPK1	TP53
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
SMAD2	YAP1
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ESR1
MAPK1	MYC
PRKACA	PPARA
ADORA2A	GNAQ
GNAQ	HRAS
ADORA2A	GNAS
GNAS	SRC
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
HRAS	MAPK1
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
SRC	STAT3
HRAS	MAPK8
GNAS	ADCY1
ADCY1	PRKACA
HRAS	MAPK14
HRAS	RAF1
RAF1	NFKB1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
PDE4B	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	CTNNB1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	HIF1A
MAPK8	SMAD3
PRKACA	EP300
CREBBP	ARNT
PRKACA	CREB1
MAPK8	FOS
PRKACA	MAPK1
MAPK8	SMAD4
RAPGEF3	MAPK14
MAPK8	ELK1
MAPK8	TP53
PPARA	RXRA
SMAD3	YAP1
PRKACA	PRKAG2
PRKAG2	MTOR
RYR1	CALML6
CALML6	HRAS
CALML6	CAMK2A
CREBBP	LEF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
RYR1	PRKCA
PRKCA	MTOR
MTOR	HIF1A
PRKCA	MAPK1
PRKCA	CREB1
PRKCA	FOS
CAMK2A	STAT1
PRKCA	PRKACA
PRKCA	RAF1
PRKCA	PAX8
PAX8	RXRA
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
MAPK1	JUN
MAPK1	FOS
PRKACA	MAPK8
NFKB1	CEBPB
NFKB1	TP53
NFKB1	PPP2CA
PPP2CA	YAP1
PDE5A	HPRT1
HPRT1	PDE3B
PDE5A	ITPA
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PDE6C	HPRT1
PDE6C	ITPA
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE9A	ITPA
PDE6A	HPRT1
PDE6A	ITPA
PDE6B	HPRT1
PDE6B	ITPA
PRKDC	TP53
TP53	PTEN
PTEN	AKT3
AKT3	JUN
TP53	TP73
TP73	YAP1
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
YAP1	SMAD2
PTEN	PIK3R5
YAP1	SMAD3
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
AKT3	CREB1
ITGB1	PRKCA
ITGB1	SRC
THBS1	PTK2
PTK2	MAPK1
YAP1	SMAD4
PTK2	MAPK14
MAPK14	JUND
MAPK14	JUNB
AKT3	NFKB1
AKT3	NR4A1
NR4A1	RXRA
TP53	TSC2
TSC2	RHEB
