PTGS2	ADCY5
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
ADCY5	PRKACA
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
RAPGEF3	RRAS2
RRAS2	PIK3R5
RRAS2	PIK3CA
RRAS2	PIK3CB
RRAS2	PIK3CD
RRAS2	PIK3CG
RRAS2	PIK3R1
RRAS2	PIK3R2
RRAS2	PIK3R3
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	RELA
PRKACA	CREB1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PDPK1	AKT3
AKT3	FOXO3
FOXO3	RBL2
RBL2	E2F4
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
PDPK1	PRKCA
PRKCA	PRKACA
AKT3	CREB3
CREB3	CREBBP
AKT3	NFKB1
AKT3	RAF1
RAF1	PIK3R5
RAF1	PIK3CA
RAF1	PIK3CB
RAF1	PIK3CD
RAF1	PIK3CG
RAF1	PIK3R1
RAF1	PIK3R2
RAF1	PIK3R3
CREBBP	LEF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
AKT3	RELA
AKT3	CREB1
AKT3	NR4A1
NR4A1	RXRA
PRKCA	PAX8
PAX8	RXRB
PAX8	RXRG
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
STAT2	CCND1
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT5A	SOCS2
STAT6	CCND1
HSF1	HSPA1A
HSF1	HSPA6
MYD88	CXCL3
MYD88	IL12A
ELK4	FOS
HNF4A	SLC2A2
PDX1	NR5A2
NEUROD1	IAPP
RBPJ	HES5
TP53	BAX
FOS	VEGFB
CREB3L1	MCL1
PPARD	UCP1
RXRA	ACSL3
MAPK9	IL1B
MAPK9	IL6
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK12	IL1A
SP1	ADA
PPARG	GADD45A
RARA	GADD45A
ETS1	HMOX1
NFIC	HMOX1
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
