HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CREB1
MAPK1	TP53
MAPK1	ATF2
MAPK1	ATF4
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	MYC
MAPK1	CREB5
HRAS	JUN
MAPK1	ETS1
MAPK1	ATF6B
HRAS	RAF1
RAF1	RELA
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
SMAD2	SP1
RAF1	NFKB1
HRAS	MAPK3
MAPK1	STAT1
HRAS	FOS
HRAS	MAPK14
MAPK14	MAX
MAPK1	STAT3
HRAS	PIK3R5
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ESR1
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
PIK3R5	HIF1A
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
NFKB1	NFKB2
GLI2	WNT5A
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER3
CREB1	PER2
ARNTL	CRY1
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORA
ARNTL	RORB
ARNTL	RORC
ARNTL	BHLHE41
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EP300	EPO
HIF1A	TIMP1
ARNT	EDN1
ARNT	ENO1
YAP1	ID2
YAP1	ID3
YAP1	ID4
YAP1	AXIN1
YAP1	AXIN2
YAP1	NKD1
WWTR1	ITGB2
WWTR1	AREG
WWTR1	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
STAT4	CCND3
STAT5B	CCND2
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CB	AKT2
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
RXRA	ACADL
RXRA	APOA2
RXRB	MMP1
RXRG	ACSL3
RXRG	ACADM
RXRG	ANGPTL4
IRF7	IFNA17
JUN	TNF
STAT1	CXCL11
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFKB1	IL23A
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
MAPK9	IL23A
MAPK10	IL12A
MAPK10	IL12B
MAPK12	IL1B
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
SP1	COL4A2
CREM	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
EGR1	EGFR
PPARG	GADD45A
E2F1	HIST1H2AM
ERG	MMP2
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME1
TP53	NME1
MYC	NME2
JUN	NPPA
FOS	NQO1
JUND	NQO1
HIF1A	NR4A1
RELA	NR4A1
MYC	NRAS
CREB1	NRAS
JUN	NRAS
MYB	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
E2F4	TK1
