PDE3A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	FOS
ADCY1	PRKACA
PRKACA	PPARA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	NFKB1
PRKACA	RELA
MAPK8	JUND
NFKB1	HIF1A
PRKACA	MAPK1
MAPK1	ETS1
MAPK8	JUN
PRKACA	CREBBP
PRKACA	EP300
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
NFKB1	CCL5
MAPK12	IL8
ATF6B	PCNA
CREBBP	ENO2
EP300	ENO2
RELA	CCL4
RELB	CXCL12
EPAS1	TGFB2
MYC	CKS1B
RXRA	PLTP
RXRB	ACSBG1
RXRG	EHHADH
IRF7	IFNA8
RFXAP	LOC100507714
USF2	APOE
ATF4	CGA
CREB1	CGA
STAT5A	EGFR
TFAP2A	EGFR
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
ATF1	PPP2R4
ATF2	PTGS2
RARB	S100A8
POU2F2	SPP1
STAT3	TIMP1
