ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	CREB1
PRKCA	MAPK1
MAPK1	ETS2
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
MAPK1	TP53
PRKCA	PRKACA
PRKACA	PPARA
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
AKT3	RELA
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	XBP1
XBP1	CEBPA
AKT3	JUN
MAPK1	ELK1
PIK3R5	GSK3B
GSK3B	MYC
AKT3	CHUK
CHUK	NFKB2
PRKCA	FOS
MAPK1	ETS1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
TCF7L2	MYC
EP300	HK2
STAT5B	SOCS4
BBC3	TP53AIP1
TP53	STEAP3
TP53	RRM2
STAT3	VEGFB
NFKB2	CCND1
PPARA	SLC27A4
PPARG	SLC27A4
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYB	HLA-DQA2
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL1B
MAPK3	IL18
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	FOSL1
SP3	ABCA1
USF2	ABCA1
SP1	ADA
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP3	CCND1
TP53	CCND1
USF1	CCND1
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ATF4	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP3	COL2A1
ATF1	PLAUR
ELK1	TNF
