CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	MAPK8
MAPK8	JUND
PRKCA	MAPK1
MAPK1	STAT3
HRAS	JUN
MAPK1	SMAD3
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
MAPK1	ESR1
MAPK1	ETS1
MAPK1	STAT1
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	PAX8
PAX8	RXRA
RXRA	RARB
MAPK1	SMAD4
MTOR	PPARG
PRKCA	FOS
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
MAPK8	JUN
MAPK8	SMAD3
SMAD3	SP1
MAPK8	TP53
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PLCB1	PIK3R5
PIK3R5	HIF1A
PRKCE	ARAF
ARAF	MAPK1
CAMK2A	STAT1
DGKK	PLCE1
PLCE1	PRKACA
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
MAPK8	SMAD4
PIK3R5	MTOR
MAPK8	FOS
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKCE	PPP1CA
PPP1CA	YAP1
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
MAPK8	JUN
MAPK10	SMAD4
CREBBP	ANGPT4
CREBBP	PFKFB4
EP300	ANGPT4
EP300	PFKFB4
HIF1A	ANGPT4
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TEAD1	GLI2
TEAD1	SOX2
TEAD4	AXIN1
TEAD3	CTGF
MYD88	IFNA7
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFX5	HLA-DQA1
RFX5	HLA-DQA2
SP3	CD14
EGR1	CD44
ATF2	CDKN1A
CEBPA	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ATF4	CGA
CREB1	CGA
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
ETS2	PLAU
TFAP2A	POLD2
USF2	PTGS2
PPARD	SERPINE1
POU2F1	SFTPA1
ATF1	TG
CREM	TH
ETS1	TNNC1
SMAD3	TNNC1
PAX1	VHL
