SOAT1	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK8	ELK1
ELK1	EGR1
MAPK8	JUN
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
PRKCE	PPP1CA
PPP1CA	CREB1
MAPK1	ETS1
MAPK8	TP53
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
ELK1	SPI1
MAPK8	FOS
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	HIF1A
PPP1CA	YAP1
ANPEP	GGT1
GGT1	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
PRKCA	HRAS
HRAS	JUN
PRKCA	CREB1
MAPK1	TP53
PRKCA	PRKACA
ETS1	SPI1
PRKCA	FOS
PRKCA	MTOR
MTOR	HIF1A
SMAD2	YAP1
HIF1A	VEGFC
ARNT	EPO
RELA	TRAF1
PIK3R5	AKT1
PIK3CB	AKT2
PIK3CD	PDPK1
PLCG2	EGFR
NFYB	HLA-DPA1
MAPK11	IL18
MAPK11	NOS2
RELA	IL1A
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SMAD7	HMOX1
