TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	RELA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	MAPK1
MAPK1	STAT3
PRKACA	NFKB1
PRKACA	PPARA
MAPK8	ELK1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	CREBBP
CREBBP	SP1
MAPK8	JUN
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK8	SMAD3
SMAD3	SMAD7
MAPK8	FOS
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	CREB1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK1	ESR1
MAPK1	ETS1
MAPK1	STAT1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	MYC
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	XBP1
XBP1	CEBPA
ELK1	SPI1
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	PSEN1
PSEN1	ATF6
NFKB1	NFKB2
ATF6B	ARC
ATF4	ARC
GLI3	BMP2
JUN	RELA
LEF1	MYC
TCF7	BIRC5
CREBBP	FASLG
FOS	MMP9
CREBBP	EGF
CREBBP	GAPDH
EP300	EGF
EP300	GAPDH
HIF1A	EGF
HIF1A	GAPDH
HIF1A	TFRC
ARNT	FIGF
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	ID1
YAP1	CCND1
YAP1	AREGB
WWTR1	FGF1
WWTR1	BIRC5
SMAD1	ID4
SMAD2	SERPINE1
SMAD4	ID2
TEAD1	SOX2
TEAD3	CTGF
STAT4	SOCS2
STAT5B	SOCS1
PAX6	PDX1
MAPK1	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53
EPAS1	VEGFC
IRF8	IL12A
PPARA	APOA1
PPARG	OLR1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
NFYA	LOC100509457
NFYA	HLA-DOA
NFYC	HLA-DMA
MAPK1	NOS2
MAPK1	IL23A
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
RFXANK	HLA-DMA
CREB3L2	AQP2
CREB3L3	AQP2
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
SP1	CDKN1C
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
CEBPA	ABCB1
CEBPB	ABCB1
CREB1	ADRB2
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP3	CD14
ATF4	CGA
TFAP2A	CYP11A1
NFIC	CYP17A1
SP1	DKC1
SP3	DKC1
SP1	EGFR
STAT1	EGFR
MYC	EIF4E
PAX5	FCER2
CEBPA	FN1
CREM	GPX4
POU2F1	HIST2H2BE
FOS	HLA-DRA
TFAP2A	HMOX1
TP53	IL8
CEBPA	ITGA2
PPARA	MMP9
CREM	PLAT
EGR1	PLAU
ETS2	PLAU
USF1	S100A6
NFKB1	SAA2
LEF1	SPP1
CREB1	TF
SP1	TIMP1
CEBPB	TNF
PAX8	TP53
FOS	TSHB
