TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	ESR1
MAPK8	TP53
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	CREBBP
CREBBP	SP1
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	RELA
SMAD3	RBL1
RBL1	TFDP2
PRKACA	NFKB1
NFKB1	MYB
MAPK1	MYC
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
PRKACA	CREB1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	STAT1
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
GLI2	WNT6
GLI3	GLI1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
HIF1A	TIMP1
ARNT	EDN1
ARNT	EPO
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
YAP1	ID2
YAP1	ID3
YAP1	MYC
YAP1	AXIN1
YAP1	AXIN2
WWTR1	CTGF
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID2
SMAD4	CTGF
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
CREB3	MITF
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	PTCRA
TP53	PTEN
NFKB2	TRAF4
ATF4	MCL1
PPARA	ACSL1
PPARD	FABP3
PPARG	ACSBG1
RXRA	CYP8B1
MYD88	IFNA6
MYD88	IFNA13
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
MAPK3	IL23A
MAPK9	NOS2
MAPK9	IL23A
MAPK10	IL12B
RFXAP	HLA-DMB
MAPK12	IL1B
SP1	COL4A2
USF2	ABCA1
USF1	CCNB1
USF2	CCNB1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
SP3	CTSL
EGR1	EGFR
PAX5	FCER2
CEBPA	FN1
TFAP2A	HMOX1
ETV4	MMP2
RELA	MMP3
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
