AR	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	RELA
MAPK1	JUN
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
MAPK1	FOS
MAPK1	STAT3
CREBBP	EPAS1
MAPK1	MYC
MAPK1	STAT1
NFKB1	TP53
ELK1	CCND2
MAPK8	SMAD4
STAT1	MYD88
CREBBP	PDK1
CREBBP	TEK
EP300	PDK1
EP300	TEK
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
NFYB	HLA-DPA1
SP3	CDKN1A
NFIC	CYP17A1
SMAD7	HMOX1
STAT3	HMOX1
TP53	PTTG1
PPARG	SERPINE1
WT1	SOD1
CREB1	TG
USF2	THBS1
FLI1	TNNC1
CEBPB	TOP1
TFAP2A	VHL
