ABCC8	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	SP1
CACNA1C	INS
INS	MAPK1
MAPK1	TP53
MAPK1	ESR1
MAPK1	SMAD4
MAPK1	SMAD2
SMAD2	YAP1
MAPK1	RELA
CAMK2A	EP300
INS	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
EGR3	FASLG
CREBBP	FIGF
EP300	FIGF
HIF1A	FIGF
HIF1A	VEGFC
ARNT	EGF
ARNT	PFKL
ARNT	PGK1
SOS1	SPRY3
STAT5B	CCND2
HNF1A	HNF4G
CREB3L1	MITF
MAPK3	CCND1
NFYA	HLA-DQA1
TCF7L1	JUN
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
USF1	CTSB
STAT1	EGFR
BRCA1	ESR1
STAT5B	ESR1
USF1	FBP1
RARG	S100A9
TFAP2A	TAF7
ATF1	TNF
CREB1	TRH
