SMO	STK36
STK36	GLI1
GLI1	BMP2
BMP2	ACVR1
ACVR1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	CREB1
MAPK1	JUN
MAPK1	FOS
MAPK1	ETS1
ETS1	SPI1
GLI1	WNT16
WNT16	FZD10
FZD10	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
ACVR1	SMAD2
SMAD2	SP1
ACVR1	MAPK3
ACVR1	MAPK14
ACVR1	MAPK11
ACVR1	MAPK13
FZD10	GNAO1
GNAO1	MAPK8
GNAO1	MAPK9
GNAO1	MAPK10
MAPK1	STAT1
STAT1	MYD88
NFKB1	TRAF6
TRAF6	IRF5
MAPK14	CEBPB
PLCB1	PRKCQ
PRKCQ	IKBKG
IKBKG	TBK1
TBK1	REL
FZD10	CTNNB1
CTNNB1	CREBBP
CREBBP	RXRA
RXRA	PPARG
CREBBP	RXRB
CREBBP	RXRG
SOS1	SPRED2
STAT4	SOCS1
STAT5B	CCND1
RELA	TNFAIP3
PIK3R5	AKT3
PIK3CD	AKT2
MYC	PGF
NFKB2	TRAF6
ATF6B	BCL2
PPARA	EHHADH
PPARA	SCD
PPARG	ACSL3
PPARG	CD36
RXRA	PLIN1
RXRB	NR1H3
RXRB	ACSL4
RXRB	UCP1
RXRG	EHHADH
RXRG	ADIPOQ
MAPK10	IL8
SMAD4	PITX2
SP1	CDKN2B
FOS	CCL4
IRF3	CD40
IRF5	CCL5
IRF7	IFNA8
NFYB	HLA-DQA2
MAPK1	IL18
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
TP53	BAK1
CREB1	CYP11A1
