SMO	STK36
STK36	GLI1
GLI1	BMP2
BMP2	ACVR1
ACVR1	MAPK1
MAPK1	TP53
GLI1	WNT16
WNT16	FZD10
FZD10	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CREBBP	HIF1A
CREBBP	ARNT
MAPK1	CREB1
CREB1	PCNA
FOS	MMP9
NFKB1	TNF
CREBBP	CDKN1A
CREBBP	GAPDH
CREBBP	SERPINE1
EP300	CDKN1A
EP300	GAPDH
EP300	SERPINE1
HIF1A	CDKN1A
HIF1A	GAPDH
HIF1A	SERPINE1
PAX6	GCK
RXRB	MMP1
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
ESR1	FOS
SP1	RPL10
NFKB1	SAA2
PPARA	SERPINE1
ETS2	SPP1
CREB1	TF
JUN	TFRC
JUND	TIMP1
CEBPB	TNF
ERG	TNNC1
NFKB1	TP53
FOS	TSHB
HIF1A	VHL
