CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	TP53
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
PRKCE	RAF1
RAF1	RELA
SMAD3	SP1
MAPK8	JUN
PRKCE	PPP1CA
PPP1CA	CREB1
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
RAF1	NFKB1
NFKB1	MYB
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PPP1CA	CREB3
MAPK8	ATF2
PPP1CA	ATF6B
PPP1CA	ATF4
PPP1CA	CREB3L2
PPP1CA	CREB3L1
PPP1CA	CREB5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
FOXO1	PCK1
PAX6	GCK
HNF1A	HNF4A
MAPK1	CDK4
PIK3R2	AKT1
ETS1	VEGFC
FOS	FIGF
FOXO3	G6PC2
ATF4	MCL1
ATF4	BCL2
PPARD	CPT1A
PPARD	FABP3
PPARD	ACADL
RXRA	CYP4A11
RXRA	CYP8B1
RXRA	CYP27A1
MAPK1	NOS2
MAPK9	NOS2
SP1	COL4A2
SP3	ABCA1
SP2	CD14
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
STAT1	EGFR
MYC	EIF4E
JUND	F3
CEBPA	GPX4
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
