CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	TP53
TP53	TP73
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PIK3R5	HIF1A
MAPK8	JUN
PIK3R5	MTOR
MTOR	PPARG
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
EGR2	FASLG
CREBBP	ALDOA
EP300	ALDOA
HIF1A	ALDOA
SMAD2	CTGF
MITF	TYRP1
MYC	MMP2
MYC	VEGFC
NFKB2	TRAF3
ATF2	MCL1
FOXO3	CDKN1B
PPARA	CYP8B1
PPARA	ANGPTL4
PPARA	ACSBG2
PPARG	FABP4
PPARG	SCD5
RXRA	APOA5
ATF2	CGA
TFAP2A	COL1A1
RARB	S100A9
SP1	TAF7
CEBPA	TK1
SP1	TPI1
