HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	FOS
HRAS	MAPK1
MAPK1	ETS1
HRAS	JUN
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	TP53
ITGAL	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
SRC	HRAS
ITGAL	PTK2
PTK2	MAPK1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
HDAC2	CTBP1
CTBP1	LEF1
LEF1	JUN
JUN	NFKB1
JUN	RELA
HDAC2	HDAC1
HDAC1	FOS
HDAC2	THRB
THRB	GATA4
GATA4	SRF
SRF	ETS1
HDAC2	THRA
THRA	CTNNB1
THRB	HIF1A
CREBBP	TP53
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
LEF1	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
PPARG	SERPINE1
CREB1	TG
FLI1	TNNC1
TFAP2A	VHL
