CYP11B1	HSD11B1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
STAT3	MYC
MYC	ZBTB17
MYC	PIAS2
PRKCA	RAF1
RAF1	NFKB1
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	ATF4
RAF1	RELA
JAK2	STAT1
MAPK1	ETS1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	CREB1
PRKCA	ATF2
PRKCA	MTOR
MTOR	PPARG
CREB3	CRH
CREB1	CRH
ATF6B	CRH
GLI3	PTCH1
GLI3	BMP4
MAPK11	IL8
RBPJL	FCER2
MITF	TYRP1
BBC3	TP53AIP1
TP53	RRM2
TP53	PERP
EPAS1	PDGFB
FOS	VEGFB
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRB	APOC3
MAPK9	IL12B
RFX5	HLA-DQA1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	CD55
CREB1	TWF2
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
ATF3	ASNS
ATF4	ASNS
SP1	CAV1
JUN	CYP11A1
PPARA	GADD45B
ATF1	GH2
CREB1	GH2
STAT4	IFNG
CEBPA	IGF2
CEBPB	IL1A
ETV4	MMP9
PPARG	MMP9
NFKB1	PPP2R4
CEBPB	PTGS2
