CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
RAF1	RELA
MAPK1	TP53
HRAS	PIK3R5
PIK3R5	HIF1A
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
PRKCA	MAPK1
PRKCA	MTOR
MTOR	HIF1A
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
RUNX1	JUP
RUNX1T1	JUP
EP300	PFKFB3
HIF1A	PFKFB4
HIF1A	PFKL
CREB3L4	MITF
VDR	SLC34A2
VDR	ATP2B1
PIK3CB	AKT2
MAX	CKS1B
NFKB2	TRAF5
PPARA	DBI
PPARG	ACSL1
NFYA	LOC100509457
RFX5	HLA-DOB
RFX5	CD74
RFXAP	LOC100507709
USF1	FBP1
SMAD7	HMOX1
STAT3	HMOX1
CREB1	ICAM1
CREM	ICAM1
SMAD2	TNNC1
ETS1	VWF
ETS2	VWF
