ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
CRTC2	CREB1
PRKAG2	FOXO3
FOXO3	RBL2
RBL2	E2F4
CRTC2	CREB3
CRTC2	ATF2
PRKAG2	MTOR
MTOR	AKT3
AKT3	ATF6B
CRTC2	ATF4
CRTC2	CREB3L2
CRTC2	CREB3L1
CRTC2	CREB5
MTOR	PPARG
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
PAX6	PDX1
NFKB2	TRAF4
CREB1	BCL2
PPARA	ACSL1
PPARA	ACOX1
PPARG	ACSBG1
PPARG	UCP1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP3	CTSL
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
