TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	SP1
RHOA	RAF1
RAF1	NFKB1
MAPK8	JUN
MAPK8	ELK1
ELK1	EGR1
RAF1	RELA
RAF1	MAPK1
MAPK1	STAT3
MAPK1	MYC
NFKB1	HIF1A
MAPK1	ESR1
MAPK8	TP53
SMAD3	CREBBP
SMAD3	EP300
HIF1A	ARNT
MAPK1	ETS1
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK8	FOS
RAF1	AKT3
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
MAPK8	ATF2
ATF2	ATF1
RAF1	MAPK14
MAPK14	MAX
AKT3	CREB1
AKT3	MTOR
MTOR	PPARG
BCL2	TP53
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	NFKB1
TP53	PTEN
PTEN	AKT3
AKT3	JUN
MAP3K1	MAPK8
MAP3K1	RELA
TP53	THBS1
THBS1	ITGB1
ITGB1	SRC
SRC	STAT3
YAP1	MYC
PTEN	PIK3R5
PIK3R5	HIF1A
THBS1	PTK2
PTK2	MAPK1
ITGB1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	ATF1
MAP3K1	MAPK14
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
CREB3L1	CRH
CREB3L1	NPY
ATF6B	IL8
EGR3	FASLG
NFKB1	TNF
MAPK9	SMAD4
CREBBP	ENO1
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	PFKFB2
EP300	ENO1
EP300	FIGF
EP300	SERPINE1
EP300	PFKFB2
HIF1A	ENO1
HIF1A	FIGF
HIF1A	SERPINE1
HIF1A	PFKFB2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HNF1A	HNF4G
MAPK3	CDK4
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB2	ICAM1
RELA	PTGS2
RELB	CCL13
RELB	CCL19
PIK3CA	AKT1
PIK3CD	AKT3
PIK3R1	AKT3
PIK3R1	PDPK1
RBPJL	PTCRA
EPAS1	PGF
EPAS1	TGFA
FOS	FIGF
MAX	CKS2
NFKB2	TRAF3
NFKB2	TRAF4
ATF4	MCL1
PPARA	CYP8B1
PPARA	ACSL1
PPARD	FABP3
PPARG	FABP4
PPARG	ACSBG1
RXRA	CYP8B1
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MYD88	IFNA21
NFYA	LOC100509457
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL18
RFXAP	HLA-DMA
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
NFKB1	REL
POU2F1	REL
SP1	COL4A2
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
SP3	CD14
USF2	CEACAM6
ATF1	CGA
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
STAT1	EGFR
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
CREB1	HMOX1
REL	IL2RA
STAT1	IL2RA
RARA	S100A8
RARG	S100A9
PPARA	SERPINE1
USF2	SERPINE1
POU2F1	SPP1
TFAP2A	TAF7
JUN	TFRC
ATF1	TH
STAT1	TIMP1
ATF1	TNF
ERG	TNNC1
NFKB1	TNNC1
STAT1	TP53
CREB1	TRH
HIF1A	VHL
ETV4	VIM
ETS1	VWF
ETS2	VWF
NFIC	VWF
