TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	SP1
RHOA	RAF1
RAF1	NFKB1
RAF1	RELA
RAF1	MAPK1
MAPK1	ESR1
SMAD3	E2F4
MAPK1	MYC
SMAD3	YAP1
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
NFKB1	HIF1A
MAPK8	JUN
PRKACA	PSEN1
PSEN1	ATF6
RAF1	AKT3
AKT3	MTOR
MTOR	PPARG
SMAD3	CREBBP
SMAD3	EP300
HIF1A	ARNT
MAPK8	SMAD4
SMAD4	LEF1
LEF1	PPARD
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	STAT3
MAPK8	ELK1
ELK1	EGR1
CREBBP	RBPJL
CREBBP	RBPJ
AKT3	CREB1
NFKB1	MYB
MAPK1	STAT1
NFKB1	SOCS3
SOCS3	STAT5A
SOCS3	STAT5B
RHOA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
NFKB1	PPP2CA
PPP2CA	STAT2
STAT3	STAT4
STAT3	STAT6
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
MAPK8	ATF2
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB5
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD2
AKT3	GSK3B
GSK3B	ARNTL
RHOA	DAAM1
DAAM1	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
MAPK8	FOS
NFKB1	CEBPB
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
BCL2	TP53
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	NFKB1
MAP3K1	RELA
TP53	THBS1
THBS1	PTK2
PTK2	MAPK1
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
YAP1	MYC
YAP1	SMAD3
THBS1	ITGB1
ITGB1	PRKACA
TP53	PTEN
PTEN	PIK3R5
PIK3R5	HIF1A
PTEN	AKT3
AKT3	JUN
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
PRKACA	CREBBP
PRKACA	EP300
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
ITGB1	SRC
SRC	STAT3
MAP3K1	MAPK8
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
AKT3	ATF2
YAP1	SMAD4
TP73	WWTR1
WWTR1	LOC400927-CSNK1E
MAP3K1	IKBKG
TNF	ICAM1
TNF	SELE
CREB3	FOSB
CREB3	NPY
CREB1	FOSB
CREB1	NPY
ATF2	FOSB
ATF2	NPY
ATF6B	FOSB
ATF6B	NPY
CREB3L4	BDNF
ATF4	CRH
ATF4	BDNF
MAPK1	PDYN
CREB3L2	FOSB
CREB3L2	NPY
CREB3L1	CRH
CREB5	BDNF
GLI3	HHIP
GLI3	BMP2
GLI3	WNT7A
GLI3	WNT8B
GLI3	WNT5B
NR1H4	SLC51B
E2F1	CCNE2
E2F3	CCNE1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
NFKB1	CCL5
MAPK12	IL8
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	BIRC2
ELK1	BIRC3
ELK1	CCND1
CREB1	PCNA
EGR3	FASLG
RELA	IL6
RELA	MMP9
RELA	TNF
CREB3L2	PCNA
CREBBP	CDKN1A
CREBBP	FIGF
CREBBP	PFKL
CREBBP	PGF
CREBBP	PGK1
CREBBP	SLC2A1
EP300	CDKN1A
EP300	FIGF
EP300	PFKL
EP300	PGF
EP300	PGK1
EP300	SLC2A1
HIF1A	CDKN1A
HIF1A	FIGF
HIF1A	PGK1
ARNT	EDN1
ARNT	EGF
ARNT	SERPINE1
ARNT	ANGPT4
ARNT	PDK1
ARNT	PFKFB1
ARNT	PFKFB2
ARNT	PGK1
YAP1	BIRC2
YAP1	ID3
YAP1	SNAI2
YAP1	AXIN2
WWTR1	BBC3
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT4	SOCS2
STAT4	CCND3
STAT5A	MYC
STAT5B	SOCS1
STAT5B	CCND2
STAT6	SOCS7
PAX6	PDX1
HNF1A	HNF4G
EPAS1	PDGFB
EPAS1	TGFA
FOS	VEGFA
JUN	MMP9
MAX	CKS2
NFKB2	TRAF2
NFKB2	TRAF4
CREB3L3	MCL1
PPARA	CYP7A1
PPARA	ACSL1
PPARD	PDPK1
PPARG	CYP27A1
PPARG	ACSBG1
RXRA	FABP3
RXRA	ACADM
RXRA	PLTP
RXRB	ACSBG1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL18
RFXAP	HLA-DOA
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
CREB1	ADRB2
ESR1	APOE
PPARG	APOE
USF1	APOE
TP53	AQP1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
ELK1	CCT8
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
EGR1	EGFR
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2A	HMOX1
EGR1	IFNG
REL	IFNG
STAT5A	IFNG
STAT5B	IFNG
CEBPB	IGF2
EGR1	IGF2
SP1	IGFBP3
SP3	IGFBP3
CEBPD	IL1A
SP1	IL1A
REL	IL1B
SP1	IL1B
CREM	IL2
EGR1	IL2
NFKB1	IL2
POU2F1	IL2
REL	IL2RA
CEBPB	IL4
FLI1	MMP9
PPARA	MMP9
E2F1	MYB
EGR1	MYB
MYC	MYC
JUN	MYC
RELA	MYC
TP53	MYC
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
ATF1	PPP2R4
ATF2	PTGS2
CREB1	PTGS2
