TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	JUN
MAPK8	SMAD3
SMAD3	SP1
MAPK8	TP53
RHOA	RAF1
RAF1	MAPK1
MAPK1	ETS1
MAPK8	FOS
MAPK8	SMAD4
SMAD3	CREBBP
SMAD3	EP300
RAF1	NFKB1
NFKB1	HIF1A
HIF1A	ARNT
RAF1	AKT3
AKT3	CREB1
MAPK8	JUND
MAPK1	STAT3
MAPK1	STAT1
MAPK8	JUNB
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK8	ELK1
ELK1	SPI1
MAPK1	MYC
PRKACA	PPARA
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
RHOA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
AKT3	MTOR
MTOR	PPARG
ELK1	EGR1
NFKB1	CEBPB
BCL2	TP53
TP53	PTEN
PTEN	AKT3
AKT3	JUN
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
TP53	THBS1
THBS1	PTK2
PTK2	MAPK1
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	MAPK8
YAP1	SMAD4
YAP1	SMAD3
THBS1	ITGB1
ITGB1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PTEN	PIK3R5
PIK3R5	HIF1A
ITGB1	SRC
SRC	STAT3
YAP1	MYC
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
MAP3K1	NFKB1
CREB3	IL8
MAPK8	JUN
CREB3L1	IL8
CREBBP	ANGPT4
CREBBP	VEGFA
EP300	ANGPT4
EP300	VEGFA
HIF1A	ANGPT4
LEF1	CCND2
TCF7	BIRC2
TCF7	CCND3
TCF7L2	SNAI2
MITF	TYRP1
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
STAT3	VEGFA
ETS1	FIGF
ETS1	IL8
ETS1	MMP2
JUN	PGF
NFKB2	XIAP
IRF1	IL12B
CREB3	MCL1
CREB1	MCL1
CREB5	MCL1
PPARA	APOC3
PPARA	SLC27A1
PPARA	ME1
PPARD	ACOX3
PPARG	ANGPTL4
PPARG	ACSL5
PPARG	SCD
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQB1
RFX5	HLA-DOA
RFX5	HLA-DOB
MYB	TSC22D3
MYBL1	TSC22D3
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
USF1	HMOX1
USF2	HMOX1
PPARD	RELA
PPARD	SERPINE1
USF1	SP1
ATF1	TG
ETV4	TIMP1
ETS1	TNNC1
FOS	TP53
PAX1	VHL
