TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	TP53
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
MAPK8	JUN
RAF1	MAPK1
MAPK1	ETS1
MAPK8	FOS
MAPK1	MYC
MAPK8	ATF2
SMAD3	SP1
RAF1	NFKB1
NFKB1	HIF1A
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
RAF1	MAPK14
MAPK14	MAX
MAPK1	ETS2
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB5
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
AKT3	MTOR
MTOR	PPARG
RAF1	RELA
RAF1	MAPK3
BCL2	TP53
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
TP53	PTEN
PTEN	AKT3
AKT3	JUN
TP53	THBS1
THBS1	PTK2
PTK2	MAPK1
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	MAPK8
TP53	TP73
TP73	YAP1
YAP1	MYC
AKT3	ATF2
YAP1	SMAD2
SMAD2	SP1
PTEN	PIK3R5
PIK3R5	HIF1A
MAP3K1	MAPK14
MAP3K1	NFKB1
THBS1	ITGB1
ITGB1	PRKACA
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
MAP3K1	RELA
PTK2	MAPK3
CREB3L1	CRH
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EP300	PFKFB2
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
NFKB1	CCL4L2
NFKB1	PTGS2
RELA	PTGS2
RELB	CCL13
RELB	CCL19
PIK3CA	AKT1
PIK3CD	AKT3
PIK3R1	AKT3
PIK3R1	AKT1
PIK3R1	PDPK1
PIK3R2	AKT3
RBPJL	PTCRA
FOS	FIGF
FOS	MMP1
NFKB1	TRAF4
ATF4	MCL1
RELA	MYB
PPARD	FABP3
PPARD	LPL
RXRA	CYP8B1
RXRA	EHHADH
RXRA	ACADL
NFKB1	IL23A
NFYB	HLA-DPA1
NFYC	HLA-DQA2
MAPK3	IL23A
MAPK9	IL1B
MAPK9	IL6
MAPK9	TNF
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
CREM	CCND1
POU2F1	CCND1
ELK1	CCT8
ATF4	CGA
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
CEBPB	F8
NFKB1	F8
AR	F9
NFKB1	FBP1
REL	IL2RA
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
NFKB1	TNNC1
