PPARG	RXRA
RXRA	THRB
THRB	MYC
THRB	GATA4
GATA4	SRF
SRF	SPI1
THRB	PIK3R5
PIK3R5	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
THRB	HIF1A
PIK3R5	AKT3
AKT3	IRF3
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	STAT1
CTNNB1	LEF1
LEF1	JUN
CTNNB1	EP300
HIF1A	ARNT
LEF1	YAP1
RUNX1	JUP
RUNX1T1	JUP
NFKB1	BCL2
NFKB1	BCL2L1
RELA	BIRC8
GLI1	WNT3
GLI1	WNT5A
GLI1	WNT7A
GLI2	WNT4
GLI2	PTCH1
GLI2	BMP2
TFDP2	CCNE2
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
ARNT	CDKN1A
RXRA	ACADM
RXRA	ACSBG2
RXRA	ACOX2
RXRB	ACADM
RXRB	APOC3
NFYA	HLA-DOA
MAPK8	IL18
USF2	B2M
TP53	BAK1
ATF1	ERBB2
USF1	GH2
CREB1	ICAM1
CREM	ICAM1
RARB	JUN
SMAD3	JUN
SP1	JUN
CREM	LDHC
EGR1	LHB
PPARA	LIPA
NFIC	MBP
HIF1A	MDK
RARA	MIF
SPI1	NFKB1
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
