PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	TP53
CREBBP	SP1
CREBBP	CREB1
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
CTNNB1	LEF1
LEF1	JUN
CREBBP	MYB
CREBBP	CREB3
CREBBP	ATF2
CREBBP	ATF6B
CREBBP	ATF4
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	CREB5
THRB	CCND1
CCND1	RBL1
RBL1	E2F4
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
THRB	GATA4
GATA4	SRF
SRF	ELK1
SRF	ETS2
AKT3	RELA
CTNNB1	EP300
THRB	HIF1A
HIF1A	ARNT
ELK1	EGR1
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3	PCNA
ATF6B	IL8
ATF4	PCNA
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	HK3
CREBBP	VEGFB
EP300	ENO1
EP300	HK3
EP300	VEGFB
HIF1A	ENO1
HIF1A	HK3
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
USF2	ABCA1
USF1	CCNB1
USF2	CCNB1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CYP17A1
SP3	DNASE2
MYC	EIF4E
CREB1	F3
ERG	HMOX1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RELA
RARA	S100A8
JUN	SERPINB2
USF2	SP1
POU2F1	SPP1
NFIC	TFPI2
FOS	TIMP1
STAT1	TIMP1
ETS1	TNF
HIF1A	TP53
STAT1	TP53
TP53	TYMS
