HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	CREB1
MAPK1	ATF2
MAPK1	ESR1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
HRAS	RAF1
RAF1	RELA
MAPK1	MYC
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	CREM
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
RAF1	NFKB1
HRAS	JUN
MAPK1	ETS1
HRAS	FOS
SMAD2	E2F4
MAPK1	STAT3
HRAS	MAPK14
MAPK14	MAX
MAPK1	ELK1
NFKB1	NFKB2
HRAS	MAPK3
HRAS	PIK3R5
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L1	NPY
CREB3L1	BDNF
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
CREB1	PER1
CREB1	PER3
ARNTL	CRY1
ARNTL	CRY2
ARNTL	RORA
ARNTL	RORB
ARNTL	BHLHE41
MYC	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
HIF1A	TIMP1
ARNT	ENO1
YAP1	ID2
YAP1	ID4
YAP1	AXIN1
YAP1	NKD1
WWTR1	ITGB2
WWTR1	SERPINE1
TCF7	SOX2
TCF7L2	AXIN1
TEAD1	BIRC5
TEAD4	CTGF
TEAD4	AXIN2
TEAD3	CCND1
TCF7L1	BIRC2
TEAD2	GLI2
TEAD2	CCND2
STAT3	CCND2
STAT3	SOCS5
STAT4	CCND3
STAT5B	CCND2
CREB1	MITF
CREB3L4	MITF
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
RXRA	APOA2
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
CEBPA	ABCB1
CEBPB	ABCB1
SP3	CD14
EGR1	CD44
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
STAT1	EGFR
PAX5	FCER2
CEBPA	FN1
ETS1	FOSL1
ETS2	FOSL1
ERG	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
STAT1	IL2RA
STAT3	IL2RA
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME1
MYC	NME2
JUN	NPPA
JUND	NQO1
HIF1A	NR4A1
MYC	NRAS
CREB1	NRAS
MYB	NRAS
NFIC	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
