HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
MAPK1	ETS1
MAPK1	CREB1
HIF1A	ARNT
MAPK1	CREB3
CREB3	ATF1
SMAD2	YAP1
MAPK1	SMAD4
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
HIF1A	VEGFC
ARNT	PFKL
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
RXRG	EHHADH
IRF7	IFNA8
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CAV1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
