SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB1
PRKCA	CREB3
CREB3	ATF1
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
MAPK1	ELK4
MAPK1	ETS1
ETS1	SRF
PRKCA	ATF4
MAPK1	ELK1
PRKCA	ATF2
PRKCA	MTOR
MTOR	HIF1A
MAPK1	ESR1
MAPK1	STAT1
PRKCA	RAF1
RAF1	NFKB1
PRKCA	HRAS
HRAS	JUN
MAPK1	MYC
MTOR	PPARG
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREM
PRKACA	PPARA
HRAS	MAPK8
MAPK8	JUND
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
ETS1	SPI1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
RAF1	RELA
IFNG	ICAM1
TNF	VCAM1
CREB3	BDNF
CREB1	BDNF
ATF2	BDNF
CREB3L4	FOSB
ATF4	FOSB
MAPK3	PDYN
CREB3L3	NPY
CREB3L1	BDNF
NR3C2	ATP1B4
NR3C2	KRAS
NR3C2	ATP1A2
NR3C2	ATP1A3
NR3C2	ATP1B1
NR3C2	ATP1B2
NR3C2	FXYD2
NR3C2	FXYD4
NR3C2	SCNN1B
NR3C2	SCNN1G
CREB3	ARC
CREB3	FOS
CREB1	ARC
CREB1	FOS
ATF2	ARC
ATF2	FOS
GLI3	PTCH1
GLI3	WNT3
TFDP2	CCNE2
RBPJ	CR2
ELK1	XIAP
NFKB1	TNF
CREB3L2	IL8
CREBBP	SERPINE1
CREBBP	BCL2
EP300	SERPINE1
EP300	BCL2
HIF1A	SERPINE1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT5A	MYC
STAT6	SOCS7
TCF7L2	MITF
MAPK3	CCND1
PIK3CA	PDPK1
EPAS1	PDGFB
EPAS1	VEGFC
ETS1	MMP1
FOS	CDK4
FOS	MMP1
HIF1A	TGFA
NFKB1	TRAF5
NFKB1	TRAF4
NFKB2	TRAF2
IRF8	IL12A
IRF1	IL12A
CREB3	BCL2
FOXO3	RBL2
RELA	MYB
PPARA	CYP7A1
PPARA	APOA1
PPARA	ACADM
PPARA	LPL
PPARD	CPT1B
PPARD	LPL
PPARG	CYP27A1
PPARG	OLR1
PPARG	PCK2
PPARG	PLIN1
RXRA	CYP7A1
RXRA	EHHADH
NFYA	HLA-DQA1
NFYB	HLA-DQA2
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK9	IL18
MAPK9	NOS2
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	CD74
MAPK12	IL1B
RFXANK	HLA-DMA
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
LEF1	PPARD
TCF7	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
MYBL2	CDKN1C
NFIC	TINAGL1
POU2F2	REL
LEF1	ADA
NFIC	ADA
USF2	B2M
TP53	BAK1
ELK1	CCT8
RELA	CSF2
ETS1	CSNK2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
ATF1	ERBB2
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
ATF2	IFNG
STAT1	IFNG
USF1	IFNG
WT1	IGF2
TFAP2A	IGFBP3
CEBPD	IL1B
SPI1	IL1B
EGR4	IL2
SP1	IL2
STAT3	IL2RA
POU2F1	IL4
POU2F2	IL4
CEBPB	IL5
ETS1	IL5
JUN	IL5
JUND	IL5
POU2F2	IL5
SPI1	IL5
CEBPA	IL6
CEBPB	IL6
CREB1	IL6
EGR1	IL6
NFIC	IL6
REL	IL6
USF1	IL6
CEBPB	IL8
ETV4	MMP9
FOS	MT1A
SPI1	NFKB1
ETV4	PTGS2
USF1	PTPN6
PPARA	SERPINE1
EGR1	SOD1
JUN	TFRC
EGR1	THBS1
ERG	TNNC1
TFAP2A	TNPO1
HIF1A	VHL
