SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	CREB1
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	MAPK1
MAPK1	ELK1
ELK1	EGR1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	HRAS
HRAS	JUN
MAPK1	ESR1
JUN	CCND2
CREB3L3	IL8
CREBBP	TFRC
EP300	TFRC
RXRG	EHHADH
IRF7	IFNA8
NFYA	LOC100509457
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	IL18
MAPK9	IL18
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CREB1	TWF2
NFKB1	REL
CEBPA	ABCB1
CEBPB	ABCB1
STAT5A	EGFR
TFAP2A	EGFR
MYBL2	RBL1
MYBL2	SP1
CREB1	TIMP1
MYC	TP53
