CES1	UGT2B11
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB1
PRKCA	ATF2
PRKCA	ATF4
PRKCA	CREB3
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PRKCA	MAPK1
MAPK1	TP53
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	FOXO1
FOXO1	RBL2
RBL2	E2F4
OGT	AKT3
AKT3	NFKB1
OGT	GSK3B
GSK3B	MYC
MYC	ZBTB17
MYC	PIAS2
AKT3	RELA
AKT3	CHUK
CHUK	NFKB2
GSK3B	GLI2
GSK3B	GLI3
OGT	CRTC2
CRTC2	CREBBP
CREBBP	SP1
GSK3B	GLI1
CRTC2	EP300
MAPK1	ETS1
AKT3	JUN
NR3C2	ATP1B4
NR3C2	ATP1A2
NR3C2	ATP1B1
NR3C2	FXYD2
NR3C2	SCNN1B
CREB3	ARC
CREB1	ARC
ATF2	ARC
NFKB1	XIAP
GLI1	WNT2
GLI2	WNT16
GLI3	BMP4
GLI3	WNT3
TFDP2	CCNE2
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
STAT5A	SOCS4
STAT5A	SOCS1
STAT5B	SOCS5
STAT6	PIM1
TP53	SERPINE1
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
NFYA	LOC101060835
MAPK11	IL12B
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RFX5	CD74
RFXAP	LOC100507709
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
ATF2	HLA-E
ERG	HMOX1
POU2F1	IL4
CEBPB	IL5
JUN	IL5
POU2F2	IL5
CEBPA	IL6
CREB1	IL6
NFIC	IL6
USF1	IL6
NFIC	JUN
SP1	LDHA
SP3	MAT2B
PPARG	MMP9
FOS	MT1A
SPI1	NFKB1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
