TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	RELA
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	TP53
MAPK8	SMAD3
NFKB1	MYB
PRKACA	MAPK1
MAPK1	MYC
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	CREB1
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	RELA
MAPK1	NFKB1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
MAPK1	TP53
MAPK1	SMAD3
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
GATM	NOS3
NOS3	CREB1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
CREB3L1	MITF
RXRG	EHHADH
IRF7	IFNA8
SP1	COL4A2
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
USF2	CTSB
SP1	CTSL
USF1	FBP1
USF1	GH2
USF2	GH2
SP1	GJA1
E2F1	HIST1H2AM
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
