TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	FOXO3
PRKACA	CREB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	TP53
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	FOXO3
NOS3	CREB1
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
GLI3	WNT5A
RBPJ	FCER2
CTNNB1	CCND3
NFAT5	TNF
RELA	IL6
CREB5	IL8
CREBBP	PFKL
CREBBP	VEGFC
EP300	PFKL
EP300	VEGFC
MITF	TYRP1
NFKB1	FIGF
ETS1	ABCB1
SP1	ABCB1
SP1	ADH6
HIF1A	ADM
ETS1	DNTT
JUN	MT1A
PPARG	PTGS2
MYC	PTMA
TP53	RELA
NFIC	SFTPC
SP1	SPN
HOXA4	TH
JUN	TIMP1
SMAD4	TNNC1
JUN	TP53
