TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
CREBBP	ARNT
PRKACA	CREB1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD4
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ETS1
MAPK1	STAT1
MAPK8	SMAD3
MAPK1	STAT3
MAPK8	FOS
MAPK8	JUND
PRKACA	XBP1
XBP1	CEBPA
PRKACA	RELA
MAPK8	TP53
MAPK1	MYC
MAPK8	ELK1
ELK1	EGR1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	ATF1
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK8	JUNB
SMAD3	E2F4
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	ATF4
MAPK1	SMAD2
PPP1CA	WWTR1
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
NOS1	MAPK1
SMAD2	SP1
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
NOS3	CREB1
MAPK1	SMAD4
HRAS	JUN
MAPK1	SMAD3
HRAS	FOS
HRAS	MAPK8
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
MAPK1	NFKB1
MAPK1	RELA
MAPK1	TP53
MAPK1	ELK1
SMAD2	YAP1
CREB3	ATF1
HRAS	MAPK14
SMAD2	E2F4
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
NOS3	ATF4
SMAD2	WWTR1
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
NFKB1	SOCS3
PPARA	CPT1A
RELA	SOCS3
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
CREB1	IL8
CREB3L4	IL8
CREB3L4	PCNA
NFATC2	TNF
NFKB1	TNF
MAPK8	JUN
MAPK8	SMAD4
RELA	IL6
CREB5	PCNA
CREBBP	ENO3
CREBBP	EPO
CREBBP	LDHA
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	PDK1
CREBBP	PFKL
CREBBP	HKDC1
EP300	ENO3
EP300	EPO
EP300	LDHA
EP300	SERPINE1
EP300	ANGPT4
EP300	PDK1
EP300	PFKL
EP300	HKDC1
HIF1A	ENO3
HIF1A	EPO
HIF1A	LDHA
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	PDK1
HIF1A	BCL2
HIF1A	TIMP1
ARNT	FIGF
ARNT	GAPDH
ARNT	HK2
TEAD1	BIRC2
TEAD1	SOX2
TEAD1	AXIN1
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND1
TEAD3	CTGF
TEAD3	MYC
TEAD3	AXIN2
TEAD3	NKD1
TCF7L1	AXIN2
TCF7L1	NKD1
TEAD2	CCND1
TEAD2	SNAI2
TEAD2	NKD1
SMAD4	SLC2A1
FOXO1	FBP1
CREB3	MITF
MAPK3	CCND1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	TNFAIP3
RELB	TNFSF13B
PIK3R5	AKT3
PIK3R5	PDPK1
PIK3CD	AKT2
PIK3CG	AKT2
PIK3R2	AKT1
PLCG1	EGFR
PIK3R3	AKT2
RBPJL	HES1
TP53	PIDD
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
RXRG	FABP3
IRF7	IFNA14
STAT1	CXCL9
NFYA	HLA-DOB
NFYA	HLA-DQA1
NFYB	HLA-DQB1
NFYB	HLA-DRA
MAPK1	TNF
MAPK3	IL18
MAPK8	IL18
MAPK12	IL1B
CREB3L2	AQP2
CREB3L3	AQP2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
TCF7L1	JUN
POU2F2	REL
CREB1	CCND1
PPARG	CDKN1A
USF1	CEACAM6
USF1	CTSB
SP3	CTSL
JUN	CYP11A1
ETS1	DNTT
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
STAT3	FOS
ETS1	FOSL1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
E2F1	HIST1H2AM
NFIC	HSPA1A
SP1	HSPA8
SP1	HSPB1
JUN	ICAM1
REL	ICAM1
SPI1	ICAM1
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
CREB1	REN
RARG	S100A8
RARA	S100A9
CEBPA	SERPINC1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
NFIC	SFTPC
ETS1	SPP1
SP1	SPP1
NFIC	STMN1
POU2F1	TFPI2
JUN	TFRC
ATF1	TG
CREB1	TG
HOXA4	TH
JUNB	TIMP1
TFAP2A	TIMP1
E2F4	TK1
POU2F1	TNF
ERG	TNNC1
ETS1	TNNC1
FLI1	TNNC1
SMAD4	TNNC1
NFIC	TP53
USF1	TP53
WT1	TP53
USF2	TYMS
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
POU2F1	VWF
