PPARG	RXRA
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB1
THRB	GATA4
GATA4	SRF
SRF	ELK1
ELK1	EGR1
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
CTNNB1	LEF1
LEF1	YAP1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
GATM	NOS3
NOS3	CREB1
MAPK1	ELK1
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
MAPK1	SMAD2
SMAD2	YAP1
CREB3L4	PDYN
CREB3L2	PDYN
GLI3	WNT3
HIF1A	VEGFA
ARNT	FIGF
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
STAT4	IRF1
CEBPA	IVL
FOS	MT1A
