PPARG	RXRA
RXRA	THRB
THRB	CCND1
CCND1	RBL1
RBL1	E2F4
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
CCND1	RB1
RB1	E2F1
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	SP1
THRA	BMP4
BMP4	ACVR1
ACVR1	MAPK14
MAPK14	CEBPB
CREBBP	TP53
CTNNB1	EP300
THRB	HIF1A
HIF1A	ARNT
THRB	GATA4
GATA4	SRF
SRF	ELK1
ELK1	EGR1
CTNNB1	LEF1
LEF1	JUN
CREBBP	STAT3
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
CREBBP	ATF4
CREBBP	CREB1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	NFKB1
MAPK1	RELA
MAPK1	CCND1
SMAD2	SP1
NOS1	HRAS
HRAS	MAPK14
MAPK1	TP53
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CREBBP	ARNT
MAPK1	ELK1
HRAS	JUN
MAPK1	STAT3
PRKCA	PRKACA
NOS3	ATF4
NOS3	CREB1
NR3C2	ATP1A2
NR3C2	SCNN1B
ATF6B	PCNA
CREBBP	ENO2
EP300	ENO2
HIF1A	ENO2
STAT4	CCND3
STAT5B	CCND2
BBC3	TP53AIP1
TP53	RRM2
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DQA2
MAPK1	IL12B
MAPK1	NOS2
MAPK9	IL18
MAPK9	TNF
MAPK10	IL6
RFXAP	LOC100509457
RFXAP	HLA-DMA
NFATC1	PTGS2
SP3	ABCA1
SP1	CAV1
USF2	CEACAM5
USF1	CTSB
SP1	EGFR
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
CEBPA	GPX4
CREM	GPX4
CEBPB	IL5
CEBPA	IL6
RARB	S100A8
POU2F2	SPP1
STAT3	TIMP1
TP53	TP53
