HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	CREB1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	MAPK8
MAPK8	NFATC1
MAPK8	NFATC3
HRAS	PLCG1
PLCG1	PPP3CA
PPP3CA	NFATC4
NFKB1	NFKB2
MAPK1	ATF4
HRAS	MAPK14
MAPK14	CEBPB
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ATF2
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	CREB3
CREB3	ATF1
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
MAPK1	MYC
MAPK14	MAX
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ELK1
ELK1	EGR1
HRAS	JUN
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	CREB1
AKT3	NFKB1
AKT3	RELA
PIK3R5	GSK3B
GSK3B	NFATC1
GSK3B	NFATC3
PIK3R5	PLCB1
PLCB1	PPP3CA
AKT3	CHUK
CHUK	NFKB2
AKT3	ATF4
ITGB2	PTK2
PTK2	MAPK14
AKT3	ATF2
AKT3	IKBKG
AKT3	CREB3
GSK3B	MYC
PIK3R5	PLCE1
PTK2	MAPK1
AKT3	JUN
STAT4	SOCS5
STAT5B	SOCS3
TP53	SESN1
RXRA	APOA1
RXRA	ACADM
CREB1	HLA-DRA
CREB1	HLA-DRB1
CREB1	HLA-DRB3
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
NFKB1	REL
GLI1	BCL2
ATF1	BCL2
SP3	CCND1
TP53	CCND1
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
E2F4	DHFR
