NR3C2	KRAS
KRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
KRAS	JUN
KRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	CREB1
MAPK1	ETS1
AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	CREB1
PGR	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK8	JUN
PGR	PRKACA
PGR	PIK3R5
MAPK8	ELK1
ELK1	ETS1
CYP11B2	HSD11B1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
JAK2	PIK3R5
PRKCA	CREB1
PRKCA	MAPK1
SRD5A1	AKR1C2
AKR1C2	CHRNA7
SRD5A1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	JUN
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
UGT2B11	CYP2E1
SRD5A2	AKR1C2
SRD5A2	UGT2B11
SRD5A3	AKR1C2
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	PIK3R5
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CALML6	HRAS
CAMK2A	EP300
CACNA1C	INS
INS	PIK3R5
CAMK2A	CREB1
INS	MAPK1
CACNA1D	CALML6
CACNA1D	INS
CACNA1F	RASGRP3
CACNA1F	PLCD3
PLCD3	PIK3R5
PLCD3	PRKCA
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
CACNA1A	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CACNA1G	CALML6
CACNA1G	INS
CACNA1H	CALML6
CACNA1H	PLCD3
CACNA1H	NOS1
NOS1	MAPK1
CACNA1I	CALML6
CACNA1I	PLCD3
CACNA1I	NOS1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
JUND	FOSL1
SP1	FOSL1
BRCA1	GADD45A
POU5F1	GADD45A
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
