NR3C2	KRAS
KRAS	RAF1
RAF1	NFKB1
KRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
KRAS	MAPK1
MAPK1	CREB1
AR	PRKACA
PRKACA	NFKB1
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CREB1
PGR	MAPK8
MAPK8	NFKB1
PGR	PIK3R5
PGR	PRKACA
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	CREB1
SRD5A1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
OGT	NR1H3
NR1H3	RXRA
UGT2B11	CYP2E1
SRD5A2	UGT2B11
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	RAF1
HRAS	PIK3R5
HRAS	MAPK1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	INS
INS	MAPK1
MAPK1	NFKB1
INS	NR1H3
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CAMK2A	CREB1
CACNA1D	INS
CACNA1D	CALML6
CACNA1F	RASGRP3
CACNA1F	PLCD3
PLCD3	PIK3R5
PLCD3	PRKCA
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	PIK3R5
CACNA1A	PRKCA
CACNA1G	INS
CACNA1G	CALML6
CACNA1H	NOS1
NOS1	MAPK1
CACNA1H	CALML6
CREBBP	RXRA
CACNA1I	NOS1
CACNA1I	CALML6
ATF6B	PDYN
IRF1	IL12A
FOXO3	BCL2L11
PPARA	ACADM
PPARA	SCD5
PPARG	PCK2
RXRA	SLC27A4
REL	EGFR
USF2	GH2
NFKB1	IRF1
