NR3C2	KRAS
KRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
KRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
THRA	RXRB
THRA	RXRG
MAPK1	MYC
KRAS	JUN
MAPK1	CREB1
KRAS	RAF1
RAF1	NFKB1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
MAPK1	ETS1
KRAS	MAPK14
MAPK14	MAX
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	STAT3
AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	CTNNB1
CTNNB1	LEF1
PRKACA	MAPK14
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PGR	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PGR	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
MAPK8	JUN
PGR	PRKACA
MAPK8	NFKB1
MAPK8	SMAD4
MAPK8	ELK1
ELK1	ETS1
PGR	MAPK14
SMAD3	YAP1
MAPK8	IL6
IL6	STAT3
CYP11B2	HSD11B1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
STAT3	MYC
PRKCA	HRAS
HRAS	JUN
PRKCA	CREB1
PRKCA	RAF1
PRKCA	MAPK1
MYC	MAX
CYP11B2	HSD17B6
HSD17B6	DGAT1
DGAT1	PPAP2A
PPAP2A	PRKCE
PRKCE	PPP1CA
PPP1CA	YAP1
SRD5A1	AKR1C2
AKR1C2	CHRNA7
SRD5A1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	NR1H3
NR1H3	RXRA
UGT2B11	CYP2E1
OGT	AKT3
AKT3	JUN
AKT3	NFKB1
OGT	GSK3B
GSK3B	CTNNB1
SRD5A1	HSD17B6
SRD5A2	AKR1C2
SRD5A2	UGT2B11
SRD5A2	HSD17B6
SRD5A3	AKR1C2
SRD5A3	UGT2B11
SRD5A3	HSD17B6
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	PIK3R5
HRAS	RAF1
HRAS	MAPK14
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CACNA1C	INS
INS	NR1H3
INS	MAPK1
CALML6	HRAS
CAMK2A	CREB1
MAPK1	NFKB1
CREBBP	LEF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
INS	KIT
KIT	STAT3
CACNA1D	CALML6
CACNA1D	INS
CACNA1F	RASGRP3
CACNA1F	PLCD3
PLCD3	PIK3R5
PLCD3	PRKCA
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	PIK3R5
CACNA1A	PRKCA
CACNA1G	CALML6
CACNA1G	INS
CACNA1H	CALML6
CREBBP	RXRA
CACNA1H	NOS1
NOS1	MAPK1
CACNA1I	CALML6
CACNA1I	NOS1
TCF7	BIRC5
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TEAD3	CTGF
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
RXRA	APOA1
RXRA	ACADM
MYD88	IFNA10
NFYC	HLA-DQA2
MAPK1	IL6
MAPK9	IL1B
MAPK9	IL6
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100507714
USF2	ABCA1
SP1	CAV1
SP3	CD14
EGR1	CD44
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CYP17A1
TFAP2A	GH2
USF1	GH2
USF2	GH2
ETS2	PLAU
