GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
NFKB1	TNF
MAPK10	SMAD4
CREBBP	SERPINE1
CREBBP	PFKFB4
EP300	SERPINE1
EP300	PFKFB4
HIF1A	SERPINE1
MITF	TYRP1
TCF7L2	MITF
MAPK1	CDK4
RBPJ	HES1
TP53	BAI1
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
MAPK1	IL12B
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
CREB1	CGA
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETV4	MMP3
JUN	MMP7
USF2	PTGS2
PPARA	SERPINE1
POU2F1	SFTPA1
JUN	TFRC
CREM	TH
ERG	TNNC1
SMAD3	TNNC1
HIF1A	VHL
