AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	RELA
NFKB1	HIF1A
NFKB1	NFKB2
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	ELK1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	FOS
MAPK1	STAT1
MAPK1	ETS1
MAPK1	STAT3
PRKACA	EP300
CREBBP	ARNT
MAPK1	MYC
CREBBP	EPAS1
PRKACA	CREB1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
ATF6B	ARC
ATF4	ARC
JUN	RELA
NFKB1	CCL5
MAPK12	IL8
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
BBC3	TP53
RXRA	PLTP
RXRB	ACSBG1
NFKB1	IL18
NFYB	HLA-DPA1
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
MYB	TSC22D3
MYBL1	TSC22D3
PPARG	APOE
TP53	IL8
CEBPA	ITGA2
CREM	PLAT
ATF1	PPP2R4
ATF2	PTGS2
PPARG	SERPINE1
CREB1	TG
FLI1	TNNC1
TFAP2A	VHL
