TNFSF11	TNFRSF11A
TNFRSF11A	NFKB1
NFKB1	HIF1A
HIF1A	CREBBP
CREBBP	SP1
TNFRSF11A	TRAF2
TRAF2	MAPK8
MAPK8	SMAD3
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK8	SMAD4
TNFRSF11A	TRAF6
TRAF6	MAPK1
MAPK1	SMAD2
PPP2CA	WWTR1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK8	JUN
TNFRSF11A	RELA
NFKB1	TP53
MAPK1	ESR1
NFKB1	SOCS3
SOCS3	LEPR
LEPR	PPARA
TRAF2	MTOR
MTOR	PPARG
HIF1A	EP300
HIF1A	ARNT
YAP1	LEF1
LEF1	PPARD
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
SOCS3	STAT3
MAPK8	ELK1
ELK1	EGR1
CREBBP	EPAS1
MAPK1	MYC
NFKB1	VEGFA
VEGFA	EGFR
EGFR	SOS1
EGFR	SOS2
SOCS3	STAT5A
SOCS3	STAT5B
SOCS3	STAT1
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	NOS3
NOS3	CREB1
NFKB1	TNF
TNF	SMAD7
PPP2CA	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	ETS1
NFKB1	MYB
TNFRSF11A	FCGR1A
FCGR1A	PRKCB
PRKCB	PRKACA
PRKACA	XBP1
XBP1	CEBPA
NFKB1	CCND1
CCND1	RBL1
RBL1	E2F4
NFKB1	NFKB2
TRAF2	PIK3R5
PIK3R5	GSK3B
GSK3B	ARNTL
WWTR1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
RXRA	RARB
MAPK8	FOS
NOS3	ATF2
MAPK8	JUND
NOS3	ATF4
MAPK1	ETS2
MAPK1	ESR2
TRAF6	MAPK3
ELK1	SPI1
NOS3	CREB3
NOS3	ATF6B
NOS3	CREB3L2
NOS3	CREB3L1
NOS3	CREB5
NFKB1	CEBPB
CREB3	ATF1
MAPK8	JUNB
TRAF6	MAPK14
TRAF6	MAPK11
TRAF6	MAPK13
TRAF2	MAPK9
TRAF2	MAPK10
TRAF2	IKBKG
IKBKG	IRF3
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
CREB3L3	FOSB
NR3C2	ATP1B4
NR3C2	ATP1A2
NR3C2	ATP1B1
NR3C2	FXYD2
NR3C2	SCNN1B
CREB3	ARC
CREB1	ARC
ATF2	ARC
ATF6B	ARC
CREB3L4	FOS
ATF4	ARC
CREB3L2	FOS
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	PTCH1
GLI3	WNT1
GLI3	WNT2
GLI3	WNT3
GLI3	WNT7A
GLI3	WNT8A
GLI3	WNT8B
GLI3	WNT2B
GLI3	WNT5B
GLI3	WNT3A
NR1H4	SLC51B
NR1H4	ABCB4
E2F1	CCNE2
E2F2	CCNE2
E2F3	CCNE1
SMAD2	CDKN2B
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	BHLHE40
NPAS2	RORB
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	CRY1
CLOCK	PER1
CLOCK	RORB
JUN	RELA
LEF1	MYC
TCF7	BIRC5
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	CXCL1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
CTNNB1	CCND2
ELK1	CCND1
CREBBP	FASLG
ATF6B	IL8
EGR3	FASLG
NFATC2	TNF
NFKB1	TNF
MAPK9	JUN
MAPK10	SMAD4
CREB3L2	PCNA
CREBBP	EGF
CREBBP	ENO1
CREBBP	FIGF
CREBBP	LDHA
CREBBP	SERPINE1
CREBBP	PFKFB1
CREBBP	PFKFB4
CREBBP	SLC2A1
EP300	EGF
EP300	ENO1
EP300	FIGF
EP300	LDHA
EP300	SERPINE1
EP300	PFKFB1
EP300	PFKFB4
EP300	SLC2A1
HIF1A	EGF
HIF1A	ENO1
HIF1A	FIGF
HIF1A	LDHA
HIF1A	SERPINE1
HIF1A	PFKFB1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	PGK1
HIF1A	TFRC
ARNT	CDKN1A
ARNT	EDN1
ARNT	EGF
ARNT	ENO2
ARNT	FIGF
ARNT	FLT1
ARNT	HK3
ARNT	LDHA
ARNT	SERPINE1
ARNT	ANGPT4
ARNT	PDK1
ARNT	PFKFB1
ARNT	PFKFB2
ARNT	PGK1
ARNT	BCL2
ARNT	SLC2A1
ARNT	TIMP1
ARNT	VEGFA
ARNT	VEGFB
RELA	HIF1A
STAT3	HIF1A
YAP1	CTGF
YAP1	GLI2
YAP1	BIRC2
YAP1	ID1
YAP1	ID3
YAP1	ITGB2
YAP1	CCND1
YAP1	SNAI2
YAP1	AREGB
YAP1	AXIN2
YAP1	CCND2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	BIRC5
WWTR1	AREG
WWTR1	AREGB
SMAD1	ID4
SMAD2	SERPINE1
SMAD3	CTGF
SMAD4	ID2
LEF1	CCND2
LEF1	CCND3
TCF7	SNAI2
TCF7	AXIN1
TCF7	CCND2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	AXIN2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	BIRC2
TEAD1	SOX2
TEAD1	CCND2
TEAD1	CCND3
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	MYC
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
TEAD2	NKD1
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND3
STAT5A	MYC
STAT5B	CCND2
STAT6	SOCS7
PAX6	INS
PAX6	PDX1
HNF1A	HNF4G
MITF	TYRP1
TCF7L2	MITF
TCF7L1	MITF
