ABCC8	CACNA1C
CACNA1C	INS
INS	MAPK1
MAPK1	NFKB1
MAPK1	RELA
NFKB1	NFKB2
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	LEF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
MAPK1	ELK1
ELK1	EGR1
CREBBP	SP1
MAPK1	SMAD2
SMAD2	YAP1
CALML6	HRAS
HRAS	JUN
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
ATF6B	ARC
CREB3L4	PDYN
ATF4	ARC
CREB3L2	PDYN
JUN	RELA
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
BBC3	TP53
TP53	PMAIP1
SP3	DNASE2
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
TP53	IL8
STAT4	IRF1
CEBPA	ITGA2
CEBPA	IVL
CREM	PLAT
